state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,excessive_drinking_raw_value,motor_vehicle_crash_deaths_raw_value,chlamydia_rate_raw_value,teen_births_raw_value,uninsured_adults_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,hospice_use_raw_value,high_school_graduation_raw_value,college_degrees_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,inadequate_social_support_raw_value,single-parent_households_raw_value,violent_crime_raw_value,homicides_raw_value,air_pollution-particulate_matter_days_raw_value,air_pollution-ozone_days_raw_value,access_to_healthy_foods_raw_value,liquor_store_density_raw_value,smoking_during_pregnancy_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,lead_poisoned_children_(wi)_raw_value,municipal_water_(wi)_raw_value,contaminants_in_municipal_water_(wi)_raw_value
US,United States,7261.2,0.1601,3.52,3.39,0.0794,0.2053,0.263,0.1518,15.4,370.2,43,0.172,76.34202672,0.7983,0.312510768,0.736178107,0.270181315,0.058,0.18,46.5,0.2097,0.096845882,469.8606727,6.2,2.5,4,0.395673412,1.013228944,,,,,,,,,
AL,Alabama,10150.4,0.2003,4.26,4.05,0.1011,0.2386,0.309,0.1196,25.3,546.9,54.2,0.156,92.27423959,0.7759,0.355750154,0.662,0.211432702,0.05,0.236,47.1,0.2214,0.10369715,435.0261366,,5.9,1.2,0.391408115,0.675739892,,,,,,,,,
AL,Autauga County,9778.1,0.2586,5.48,4.14,0.0883,0.2814,0.3,0.1359,28.8,370,52.6,0.14,91.80338349,0.8149,0.351167171,0.715189873,0.206436271,0.046,0.138,40.7,0.2761,0.086621067,256.4870124,,4,0,0.25,0.407257326,,,,,,,,,
AL,Baldwin County,8221.7,0.1338,3.57,4.06,0.0877,0.2309,0.245,0.1785,23.6,245.9,48.6,0.209,65.39129887,0.7916,0.43349751,0.670437018,0.263212263,0.041,0.153,44.5,0.1853,0.086006278,171.6232333,,4,3,0.423076923,0.77273781,,,,,,,,,
AL,Barbour County,10686.1,0.2442,6.11,3.84,0.11,0.2268,0.364,0.0984,30.4,585.7,75.2,0.151,92.29719763,0.7968,0.638757875,0.563421829,0.111869031,0.078,0.341,47.4,0.1069,0.143551616,64.00531007,,7,0,0.4,1.066666667,,,,,,,,,
AL,Bibb County,13069.5,0.1817,4.22,5.31,0.0911,,0.317,0.0954,41.3,284,67.5,0.177,96.79425552,0.7453,0.221292797,0.603833866,0.110008446,0.052,0.242,39.8,,0.051257777,127.5807882,,4,0,0.5,0.468581604,,,,,,,,,
AL,Blount County,8929.7,0.2493,5.62,4.47,0.0726,0.2342,0.315,0.0614,28.6,85.1,57,0.208,102.0210634,0.7686,0.362454337,0.730134933,0.116181247,0.041,0.185,41.1,0.1016,0.071205959,93.78285387,,9,1,0.571428571,0,,,,,,,,,
AL,Bullock County,15080.6,,4.99,2.84,0.1328,,0.373,0.0454,54.8,724.4,84.7,0.17,117.3212405,0.7889,0.25446823,0.635036496,0.088261829,0.096,0.387,47.2,,0.175039048,,,13,0,0.25,0.93092534,,,,,,,,,
AL,Butler County,13492.3,0.2196,3.88,3.1,0.1066,0.2751,0.355,0.0933,37.3,633.5,65.9,0.145,177.4155524,0.7037,0.29871574,0.685512368,0.122937294,0.077,0.342,43.9,,0.098212005,217.3769844,,5,0,0.4,0.494731114,,,,,,,,,
AL,Calhoun County,11526.2,0.2456,5.16,4.84,0.0935,0.2678,0.332,0.1213,28,535,60.1,0.133,102.4252607,0.7759,0.254999488,0.649849398,0.169942862,0.051,0.247,45.5,0.2172,0.103289291,535.1313114,,8,0,0.5,0.621095968,,,,,,,,,
AL,Chambers County,10379.7,,4.24,4.89,0.1004,0.1748,0.357,0.0958,27.6,634,71.3,0.134,86.40359627,0.7806,0.416270635,0.636579572,0.101902061,0.132,0.246,40.2,,0.094842786,207.1638599,,7,0,0.75,0.861549065,,,,,,,,,
AL,Cherokee County,11164.4,0.3151,5.55,4.28,0.0872,0.2731,0.307,0.1495,26,152.8,72.1,0.183,117.1956905,0.8314,0.238764081,0.677710843,0.084845373,0.052,0.291,44.4,,0.08866308,31.35522746,,9,0,0.4,0.407730572,,,,,,,,,
AL,Chilton County,12533.8,0.2322,5.67,5.12,0.0987,0.2692,0.339,0.1005,41.4,233.6,62.4,0.182,100.2681985,0.8231,0.353129242,0.712927757,0.101641099,0.045,0.243,45.5,0.2368,0.077478375,393.5282918,,5,0,0.857142857,0.718562874,,,,,,,,,
