state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,excessive_drinking_raw_value,motor_vehicle_crash_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_adults_raw_value,primary_care_physicians_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,inadequate_social_support_raw_value,children_in_single-parent_households_raw_value,violent_crime_raw_value,homicides_raw_value,air_pollution-particulate_matter_days_raw_value,air_pollution-ozone_days_raw_value,access_to_healthy_foods_raw_value,access_to_recreational_facilities_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,physical_inactivity_raw_value,binge_drinking_raw_value,mental_health_providers_raw_value,illiteracy_raw_value,median_household_income_raw_value,high_housing_costs_raw_value,children_eligible_for_free_lunch_raw_value,liquor_store_density_raw_value,driving_alone_to_work_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,fair_or_poor_health_(ny)_raw_value,smoking_during_pregnancy_raw_value,adult_smoking_(fl)_raw_value,adult_smoking_(ny)_raw_value,overweight_or_obese_adults_(fl)_raw_value,fruit_and_vegetable_consumption_(fl)_raw_value,adults_engaging_in_moderate_physical_activity_(f_raw_value,obese_adults_(ny)_raw_value,no_leisure_time_physical_activity_(ny)_raw_value,excessive_drinking_(fl)_raw_value,binge_drinking_(ny)_raw_value,excessive_drinking_(ny)_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,adults_who_have_a_personal_doctor_(fl)_raw_value,insured_adults_(fl)_raw_value,dental_visit_within_the_past_year_(ny)_raw_value,adequate_social/emotional_support_(fl)_raw_value,lead_poisoned_children_(wi)_raw_value,municipal_water_(wi)_raw_value,contaminants_in_municipal_water_(wi)_raw_value
US,United States,7198.3,,,,0.0803,,0.266,,15.3,401.3,42.3,0.196,,72.4128,0.815463,0.634496,0.739,0.601,0.093,0.182,,0.315,,6.2,4,13,0.585,10,,,,,0.000407,,52029,0.364,0.432,10,0.759,,,,,,,,,0.086,,0.21,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,10189.2,0.201,4.2,4.1,0.1021,0.236,0.319,0.126,25.6,535,53.2,0.171,0.000797655,87.9589,0.7971,0.6251,0.671,0.551,0.101,0.221,0.228,0.362,431.9,,6,8,0.598,8,0.119,,0.305,0.114,0.000198,0.148,42586,0.295,0.512,7,0.835,4708708,0.239,0.138,0.261,0.005,0.011,0,0.031,0.02,0.516,0.446,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County,9967.4,0.258,5.2,4.1,0.0945,0.274,0.315,0.141,28.3,307.8,52,0.155,0.000436907,78.8536,0.818533,0.695122,0.74,0.554,0.089,0.149,0.268,0.297,256.3,,3,0,0.333,6,0.114,169.9,0.327,0.132,0.00002,0.127,51622,0.252,0.288,8,0.855,50756,0.278,0.116,0.184,0.005,0.006,0,0.022,0.008,0.514,0.448,,,,,,,,,,,,,,,,,,,,,,,,
AL,Baldwin County,8321.8,0.128,3.4,4.1,0.0882,0.219,0.262,0.194,23.2,226.4,49.6,0.209,0.000817198,63.9873,0.803769,0.724967,0.681,0.615,0.088,0.151,0.199,0.289,194.7,,1,14,0.55,12,0.098,176.1,0.252,0.168,0.000165,0.106,51957,0.294,0.289,10,0.829,179878,0.231,0.17,0.1,0.005,0.006,0,0.033,0.018,0.51,0.542,,,,,,,,,,,,,,,,,,,,,,,,
AL,Barbour County,9559,0.239,5.9,3.9,0.1135,0.229,0.376,0.085,29.2,474.3,79.9,0.163,0.000368682,90.3883,0.832487,0.683168,0.567,0.347,0.13,0.319,0.126,0.525,72.2,,7,0,0.75,7,0.136,331.2,0.349,0.076,0.000067,0.232,30896,0.363,0.651,10,0.82,29737,0.223,0.138,0.466,0.005,0.003,0,0.05,0.023,0.468,0.715,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bibb County,13282.9,0.182,4.4,5,0.0994,0.33,0.323,0.113,42.5,300.5,64.4,0.199,0.000277919,95.4298,0.801887,0.672414,0.591,0.403,0.12,0.25,0.266,0.32,164.4,,1,1,0.857,9,0.111,89.5,0.366,0.094,0,0.175,41076,0.176,0.478,5,0.832,21587,0.233,0.135,0.223,0.003,0.001,0,0.015,0.009,0.48,0.815,,,,,,,,,,,,,,,,,,,,,,,,
AL,Blount County,8475,0.253,5.5,4.8,0.0732,0.223,0.319,0.049,30,104.5,55.5,0.211,0.000224937,101.1794,0.707602,0.567164,0.724,0.423,0.091,0.173,0.135,0.241,45.8,,3,1,0.667,5,0.114,66.2,0.346,0.045,0.000017,0.139,46086,0.212,0.368,0,0.8,58345,0.242,0.147,0.021,0.005,0.002,0,0.079,0.041,0.502,0.91,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bullock County,15432.9,,5.4,5.9,0.1383,,0.378,0.044,59.3,666.9,88.9,0.188,0.000457834,95.3855,0.702128,,0.643,0.307,0.143,0.38,,0.602,,,7,0,0.333,0,0.149,351.9,0.322,0.042,0,0.342,26980,0.355,0.921,9,0.827,10985,0.246,0.108,0.682,0.004,0.003,0,0.094,0.013,0.445,0.647,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler County,12651.5,0.222,3.9,3.2,0.1089,0.273,0.368,0.103,35.6,617.2,67,0.173,0.000446185,164.5055,0.685567,0.486486,0.661,0.446,0.152,0.309,,0.499,221.3,,4,0,0.5,0,0.151,208.5,0.35,0.082,0.00005,0.206,31449,0.312,0.638,5,0.869,19964,0.248,0.162,0.419,0.002,0.005,0,0.01,0.005,0.529,0.748,,,,,,,,,,,,,,,,,,,,,,,,
AL,Calhoun County,11719.6,0.232,5.1,4.8,0.0913,0.267,0.335,0.133,27.7,608.4,58.6,0.156,0.000767047,93.2771,0.791403,0.587571,0.689,0.499,0.101,0.229,0.225,0.382,594.9,,5,0,0.75,7,0.145,175.4,0.322,0.119,0.000106,0.146,39997,0.282,0.446,4,0.864,114081,0.234,0.15,0.2,0.004,0.008,0.001,0.026,0.015,0.521,0.31,,,,,,,,,,,,,,,,,,,,,,,,
