state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,physical_inactivity_raw_value,excessive_drinking_raw_value,motor_vehicle_crash_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,inadequate_social_support_raw_value,children_in_single-parent_households_raw_value,violent_crime_raw_value,air_pollution-particulate_matter_days_raw_value,air_pollution-ozone_days_raw_value,access_to_recreational_facilities_raw_value,limited_access_to_healthy_foods_raw_value,access_to_healthy_foods_raw_value,fast_food_restaurants_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,mental_health_providers_raw_value,health_care_costs_raw_value,uninsured_adults_raw_value,could_not_see_doctor_due_to_cost_raw_value,dentists_raw_value,illiteracy_raw_value,median_household_income_raw_value,high_housing_costs_raw_value,children_eligible_for_free_lunch_raw_value,homicides_raw_value,access_to_healthy_foods_raw_value.1,driving_alone_to_work_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,smoking_during_pregnancy_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,lead_poisoned_children_(wi)_raw_value,municipal_water_(wi)_raw_value,contaminants_in_municipal_water_(wi)_raw_value
US,United States,7082.91,,,,0.081,,0.269,0.238,,,,41.7,,,68.16238908,0.82526032,0.660907719,0.66,,0.096,0.216,,,459.1024386,4,13,9.881873856,,0.582,0.487500607,,,0.000407,9476.9,,,,,50046,,0.432,,0.582,,,,,,,,,,,,0.21,,,,,,,,,
AL,Alabama,10152.06,0.2,4.2,4.1,0.103,0.231,0.328704498,0.306612854,0.123,25.50366692,556.2,52.8,0.158,0.000797655,82.60259943,0.820360684,0.656074335,0.7,0.556354357,0.095,0.274,0.225,0.366501519,459.2414356,6,8,7.68788381,0.1365,,0.546291728,0.126570628,266.5,0.000198,10049.78,0.197,0.162,0.000298728,0.148,40538,0.290528824,0.512,9.483,0.582,0.835971702,4708708,0.239,0.138,0.261,0.005,0.011,0,0.031,0.023187797,0.516,0.446,,,,,,,,,
AL,Autauga County,9865.83,0.222,4.9,4.1,0.097,0.246,0.341,0.322,0.159,28.38313687,424.9,50.6,0.138,0.000436907,90.71083413,0.842477876,0.638176638,0.845,0.542455086,0.08,0.175,0.237,0.295363246,290.5093729,3,0,7.880841674,0.2102,,0.46875,0.123,185.32,0.00002,10146.32,0.178,0.167,0.000209904,0.127,53049,0.252206106,0.288,,0.333,0.868566064,50756,0.278,0.116,0.184,0.005,0.006,0,0.022,0.009388536,0.514,0.448,,,,,,,,,
AL,Baldwin County,8091.77,0.125,3.4,4.2,0.09,0.227,0.255,0.251,0.197,23.18365332,270,50,0.164,0.000817198,57.96556544,0.809460654,0.716894977,0.726,0.607625594,0.089,0.202,0.193,0.28522118,241.8805199,1,14,10.00678238,0.0072,,0.356687898,0.114,176.71,0.000165,10018.91,0.2,0.161,0.000481427,0.106,47618,0.296059071,0.289,4.496,0.55,0.835134225,179878,0.231,0.17,0.1,0.005,0.006,0,0.033,0.022074118,0.51,0.542,,,,,,,,,
AL,Barbour County,8835.69,0.248,6.1,4.6,0.121,0.234,0.37,0.342,0.11,28.49515582,709.7,74.3,0.194,0.000368682,114.5661211,0.847926267,0.653225807,0.641,0.391407486,0.121,0.362,0.176,0.519582665,189.9647469,7,0,3.362814003,0.0485,,0.636363636,0.14,334.91,0.000067,9979.23,0.24,0.179,0.000324243,0.232,33074,0.325778458,0.651,,0.5,0.789876824,29737,0.223,0.138,0.466,0.005,0.003,0,0.05,0.02133888,0.468,0.715,,,,,,,,,
AL,Bibb County,13096.85,0.205,4.8,5.6,0.1,0.351,0.34,0.372,0.131,41.18971852,319,58.8,0.184,0.000277919,96.04389896,0.815331011,0.582352941,0.673,0.403586033,0.107,0.286,0.291,0.354948806,219.7480223,1,1,4.632417659,0.3534,,0.538461539,0.118,99.939,0,12040,0.229,0.179,0.000178269,0.175,35472,0.204004838,0.478,,0.714,0.849910724,21587,0.233,0.135,0.223,0.003,0.001,0,0.015,0.008244606,0.48,0.815,,,,,,,,,
AL,Blount County,8698.84,0.252,6.1,5.1,0.075,0.227,0.32,0.359,0.052,31.16083109,87,51.4,0.176,0.000224937,87.37595993,0.822866345,0.668341709,0.753,0.446975753,0.089,0.241,0.143,0.252963016,142.597874,3,1,5.141828777,0.294,,0.558139535,0.126,68.977,0.000017,10755.04,0.219,0.186,8.89047E-05,0.139,42906,0.242999272,0.368,5.408,0.5,0.806364167,58345,0.242,0.147,0.021,0.005,0.002,0,0.079,0.042745992,0.502,0.91,,,,,,,,,
AL,Bullock County,13597.75,,5.2,5.7,0.137,,0.394,0.309,0.046,61.95706891,842.9,90,0.211,0.000457834,96.578505,0.831775701,0.649122807,0.583,0.384923525,0.147,0.403,,0.643830128,473.0266484,7,0,0,0.1582,,0.666666667,0.156,378.11,0,10049.02,0.268,,0.000181637,0.342,25969,0.299839228,0.921,,0.333,0.818337408,10985,0.246,0.108,0.682,0.004,0.003,0,0.094,0.007199144,0.445,0.647,,,,,,,,,
AL,Butler County,12230.6,0.241,4.3,3.5,0.113,0.287,0.408,0.366,0.088,36.83087678,602.3,66,0.178,0.000446185,174.5313656,0.796068796,0.533632287,0.755,0.447013093,0.121,0.396,0.276,0.499205719,433.4177215,4,0,0,0.0275,,0.472222222,0.166,222.12,0.00005,12589.61,0.227,0.179,0.000191443,0.206,29500,0.313006609,0.638,14.593,0.5,0.877475876,19964,0.248,0.162,0.419,0.002,0.005,0,0.01,0.005217391,0.529,0.748,,,,,,,,,
AL,Calhoun County,11208.41,0.231,5.1,4.9,0.09,0.268,0.336,0.339,0.125,26.78960259,543.1,57.8,0.155,0.000767047,91.26550327,0.786124402,0.60918614,0.717,0.492199766,0.095,0.315,0.224,0.392854454,1005.828373,5,0,6.135991094,0.1892,,0.586419753,0.142,173.89,0.000106,11047.15,0.194,0.173,0.000370017,0.146,37916,0.288554749,0.446,11.808,0.75,0.858884454,114081,0.234,0.15,0.2,0.004,0.008,0.001,0.026,0.018137474,0.521,0.31,,,,,,,,,
