state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,physical_inactivity_raw_value,excessive_drinking_raw_value,motor_vehicle_crash_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,inadequate_social_support_raw_value,children_in_single-parent_households_raw_value,violent_crime_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,access_to_recreational_facilities_raw_value,limited_access_to_healthy_foods_raw_value,fast_food_restaurants_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,mental_health_providers_raw_value,health_care_costs_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,could_not_see_doctor_due_to_cost_raw_value,median_household_income_raw_value,high_housing_costs_raw_value,children_eligible_for_free_lunch_raw_value,homicides_raw_value,access_to_parks_raw_value,driving_alone_to_work_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,breastfeeding_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,drug_arrests_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,influenza_immunizations_65+_raw_value,dental_utilization_raw_value,cervical_cancer_screening_raw_value,colon_cancer_screening_raw_value,cholesterol_screening_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,lead_poisoned_children_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
US,United States,6811.19,,,,0.082,,0.269,0.238,,13.23583249,,39.3049889,,0.000729577,0.000573412,66.57999992,0.838119034,0.653660976,,,,0.225,,,,,0.052527173,,0.056530469,,342.7,57.51018974,674.4972055,,,0.000426796,9583.69,,,,50502,,,,0.39959415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,9608.9,0.201,4.2,4.1,0.104,0.225,0.328704498,0.306612854,0.123,23.14577013,562.2695479,49.33199223,0.169,0.000609353,0.000411669,80.06999993,0.83688296,0.652707655,0.72,0.564407638,0.09,0.276,0.225,0.371124987,426.569135,12.85,0.012789908,7.293014734,0.07675223,0.538071066,464.6,79.20378908,925.677532,0.126570628,272.3,0.000196222,10048.35,0.212,0.063,0.163,41427,0.296860265,0.487012464,9.137052263,0.159902388,0.838331244,4802740,0.234687491,0.140042143,0.261886548,0.006933126,0.011900499,0.001088337,0.040366124,0.667648259,0.014784542,0.514966248,0.409631829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County,8376.42,0.232,5.1,4.3,0.094,0.235,0.341,0.322,0.165,23.91699976,362.8,42.50559284,0.136,0.000366052,0.000256237,70.94999981,0.847715736,0.684659091,0.8,0.54390742,0.08,0.21,0.237,0.264715936,300.3366832,13.31,0,7.321046178,0.097935304,0.52173913,439.5,59.21564647,807.4162679,0.123,185,3.66052E-05,9489.02,0.174,0.053,0.175,48863,0.268076808,0.361167205,3.573804562,0.2,0.873218613,55267,0.260336186,0.122550527,0.183255831,0.004831093,0.009246024,0.000940887,0.026019143,0.764018311,0.005379546,0.51220439,0.420021623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Baldwin County,7770.16,0.125,3.3,3.8,0.088,0.226,0.255,0.251,0.187,19.97539433,306.1,48.24262742,0.191,0.000742119,0.000425627,56.20999992,0.808710504,0.698739977,0.74,0.621414654,0.081,0.205,0.193,0.281419644,214.7352096,11.8,0.07855243,8.730812675,0.054602606,0.35443038,365,58.71173145,589.0753302,0.114,179,0.000174616,9618.34,0.231,0.091,0.155,50144,0.300464972,0.367619386,4.178952788,0.05,0.830036816,186717,0.227986739,0.170723609,0.095749182,0.007192703,0.007556891,0.000658751,0.045293144,0.832463032,0.016554443,0.51151743,0.422790991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Barbour County,9458.14,0.224,5,4.1,0.123,0.235,0.37,0.342,0.127,26.17344268,644.6,74.43262974,0.185,0.000438116,0.000328587,109.26,0.858316222,0.647686833,0.610878544,0.421248835,0.114,0.398,0.176,0.565210277,150.0494281,12.11,0.077501446,3.650967506,0.114203157,0.558823529,459.3,105.2588964,1539.338655,0.14,344.5,3.65097E-05,9761.77,0.236,0.064,0.171,30117,0.324017103,0.663889612,5.132047584,0.04,0.78374087,27119,0.218112762,0.146244331,0.464065784,0.006489915,0.004461816,0.001696228,0.053468048,0.466794498,0.015457742,0.465430141,0.677896347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bibb County,11543.9,0.21,5,5.3,0.119,0.328,0.34,0.372,0.132,33.78787589,327.3,47.78622976,0.177,0.000262238,0.000218532,87.32999992,0.854785479,0.572289157,0.73,0.424073467,0.099,0.305,0.291,0.376874063,246.4975506,13.68,0,4.370629371,0.02144661,0.454545455,541.8,103.8911976,1192.145863,0.118,99.5,,11269.81,0.224,0.061,0.179,37347,0.219930796,0.535022779,7.650085107,,0.831802912,22766,0.220504261,0.132610033,0.222173417,0.003118686,0.001273829,0.001317755,0.019898094,0.745234121,0.008022762,0.461389792,0.683526075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Blount County,8505.64,0.215,5.2,4,0.076,0.22,0.32,0.359,0.054,28.30253626,113.4,49.02645256,0.193,0.000209107,0.000191681,95.18999982,0.844660194,0.66025641,0.810911975,0.433275331,0.083,0.222,0.143,0.263420191,101.8488149,13.04,0.067298743,5.227664802,0.010624677,0.564102564,426.2,63.88302309,605.7413748,0.126,80.8,1.74255E-05,10238.2,0.239,0.081,0.154,41940,0.238140689,0.439313603,4.079644867,0.01,0.800178223,57677,0.243944727,0.150337223,0.016817796,0.006224318,0.002149904,0.001074952,0.085580041,0.880038837,0.029679299,0.505522132,0.89951502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bullock County,9883.66,0.251,5,,0.141,,0.394,0.309,,58.66402461,769.7,85.7449089,0.162,0.000550812,0.000183604,117.26,0.761111111,0.569767442,0.71,0.390097022,0.153,0.411,,0.671560403,386.0765358,12.48,0,0,0.201517301,0.5,514.8,,1191.895113,0.156,358.4,,9567.91,0.211,0.052,,26038,0.296276596,0.901203293,,0.01,0.791815857,10542,0.218744071,0.136122178,0.683361791,0.009011573,0.002086891,0.008062986,0.077499526,0.228799089,0.031452087,0.457313603,0.513743815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler County,11005.65,0.198,3.8,3.2,0.104,0.29,0.408,0.366,0.097,28.73327313,644.5,61.78764247,0.171,0.000334273,0.000286519,142.9599996,0.828125,0.598984772,0.72,0.473188702,0.116,0.357,0.276,0.507655598,370.1762432,12.4,0,0,0.028320291,0.470588235,553,63.98582468,1020.408163,0.166,207.4,4.77532E-05,10612.92,0.219,0.055,0.172,30489,0.325463535,0.678741093,9.57775771,0.1,0.880888548,20650,0.236077482,0.170556901,0.431767555,0.003631961,0.009152542,0.000532688,0.010847458,0.537723971,0.001383764,0.53094431,0.712321574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Calhoun County,11097.28,0.235,5.1,5,0.092,0.262,0.336,0.339,0.127,22.73433881,565.9,51.26341295,0.161,0.000624863,0.000447537,99.23999977,0.800773694,0.599838969,0.7854031,0.49197897,0.092,0.318,0.224,0.397828529,725.3925069,13.05,0,7.599682502,0.100438239,0.552941177,532.3,81.3361308,908.0748813,0.142,175.6,0.000092885,11551.97,0.201,0.054,0.179,39060,0.295690613,0.509823921,11.30572524,0.17,0.853155861,117797,0.228138238,0.145572468,0.206057879,0.005246314,0.007691198,0.000942299,0.034236865,0.733295415,0.010361474,0.518765334,0.336968256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
