state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,inadequate_social_support_raw_value,children_in_single-parent_households_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_poisoning_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,could_not_see_doctor_due_to_cost_raw_value,median_household_income_raw_value,children_eligible_for_free_lunch_raw_value,homicides_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,breastfeeding_raw_value,drug_arrests_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,influenza_immunizations_65+_raw_value,dental_utilization_raw_value,cervical_cancer_screening_raw_value,colon_cancer_screening_raw_value,cholesterol_screening_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
US,United States,6811.19,0.163,3.7,3.4,0.082,0.203,,,,0.769568184,0.152,0.318633872,,38.01087644,,,,,64.925,0.841771952,0.628968389,,,,0.226,,,406.0219279,59.3,,,,,,342.7,57.51018974,6.8,,,,0.056530469,11.36180286,13.23583249,,,9672.266134,,0.142,51371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,9608.9,0.205,4.3,4.3,0.104,0.219,0.330025722,6.916196571,0.3115962,0.517159107,0.122,0.286840919,616.9,47.86678396,0.166204773,0.000620479,0.000433221,,76.436,0.83887446,0.627865711,0.74469288,0.57377768,0.072864958,0.276,0.225,0.374513298,417.6864427,76.6,12.8,0.026991857,0.147794598,0.842704009,0.319,464.6,79.20378908,9.2,0.126530266,289.9,0.194974119,0.07675223,9.979106342,23.14577013,0.209527784,0.055908662,10119.08399,,0.163,41610,0.487012464,9.137052263,4822023,0.233181385,0.145038711,0.261749043,0.006930091,0.011971216,0.001084375,0.039930562,0.668043039,0.014510642,0.514999826,0.409631829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County,8376.42,0.228,5.1,3.6,0.093,0.217,0.305,7.445188843,0.294,0.59298895,0.167,0.254901961,446.9,38.99240856,0.139312818,0.000379974,0.000270202,,75.14559066,0.868217054,0.665882353,0.8,0.547321983,0.064521193,0.185,0.237,0.301249485,302.9096745,69.6,12.92,0,0.11663286,0.877877631,0.419,439.5,59.21564647,9,0.118,181.1,0.136,0.097935304,7.422517168,23.91699976,0.179629191,0.04734987,10219.21957,,0.156,51441,0.361167205,3.573804562,55514,0.259556148,0.130489606,0.180098209,0.005090988,0.009170999,0.001010976,0.024841132,0.767746245,0.00438691,0.511373484,0.420021623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Baldwin County,7770.16,0.127,3.3,3.8,0.089,0.206,0.266,7.993460624,0.276,0.580226593,0.179,0.318518519,301.5,46.39653573,0.16580195,0.000749798,0.000440275,,54.27298863,0.802134647,0.67083107,0.74,0.617845343,0.067659387,0.205,0.193,0.278799867,213.3010261,76.2,13.13,0.042153623,0.134868658,0.831645474,0.352,365,58.71173145,6.4,0.118,188.1,0.131,0.054602606,14.70991381,19.97539433,0.209243003,0.055914909,9624.229409,,0.144,48867,0.367619386,4.178952788,190790,0.225834687,0.177299649,0.093759032,0.007327517,0.00763796,0.000642295,0.044960659,0.834427019,0.018411934,0.511315099,0.422790991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Barbour County,9458.14,0.234,4.8,4.3,0.123,0.251,0.373,5.403317403,0.35,0.114761263,0.135,0.476190476,873.9,73.77998346,0.189100655,0.000442494,0.000367634,,101.2316977,0.876379691,0.645390071,0.606400602,0.414070892,0.111795775,0.47,0.176,0.559078772,154.3264836,52.7,12.62,0.317123599,0.168453293,0.826585095,0.315,459.3,105.2588964,12.8,0.142,388.1,0.23,0.114203157,,26.17344268,0.24216186,0.061027487,10809.06015,,0.169,30287,0.663889612,5.132047584,27201,0.212014264,0.152310577,0.467213415,0.00633398,0.004539963,0.00183063,0.049463625,0.46827518,0.021706385,0.463369092,0.677896347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bibb County,11543.9,0.179,4.7,5.1,0.127,0.259,0.343,7.798603036,0.37,0.182500546,0.112,0.275862069,465.6,49.27649589,0.159780704,0.000219626,0.000177015,,89.55643418,0.827476038,0.619565217,0.73,0.441981747,0.076406474,0.272,0.291,0.39281642,254.2372881,98.1,12.87,0,0.095430108,0.823332537,0.497,541.8,103.8911976,11.2,0.111,106.7,0.158,0.02144661,16.5751844,33.78787589,0.200078156,0.056987788,10809.06912,,0.163,37392,0.535022779,7.650085107,22597,0.215603841,0.138602469,0.220555898,0.00347436,0.001363357,0.001319377,0.020274431,0.746943443,0.004986718,0.460330724,0.683526075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Blount County,8505.64,0.242,5.9,3.9,0.077,0.213,0.304,8.648064123,0.35,0.151809079,0.055,0.233333333,175.1,47.56748395,0.180648999,0.000190717,0.000190226,,90.9679868,0.835087719,0.627565982,0.810308555,0.46276054,0.06218226,0.231,0.143,0.253362908,164.4637184,89.3,12.66,0.033649371,0.125940306,0.804862223,0.603,426.2,63.88302309,6.6,0.14,92.8,0.121,0.010624677,13.00386801,28.30253626,0.226840821,0.069159135,10509.50855,,0.173,44225,0.439313603,4.079644867,57826,0.240445474,0.159374676,0.01397451,0.006095449,0.002285793,0.00107363,0.083864376,0.885086929,0.02782008,0.505610584,0.89951502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bullock County,9883.66,0.23,4.2,,0.137,0.378,0.421,3.702147309,0.325,0.288253619,,0.4,1403.9,85.12241055,0.157418339,0.000284576,0.000190949,,90.63310939,0.81372549,0.485148515,0.725,0.359536486,0.133880555,0.432,,0.654217373,333.9563099,102.5,12.75,0.154976405,0.14075067,0.841356947,0.446,514.8,,,0.175,409.1,0.27,0.201517301,,58.66402461,0.207624743,0.040220152,8940.600361,,0.167,25854,0.901203293,,10474,0.212430781,0.146362421,0.688366827,0.008680064,0.001886971,0.008113973,0.077837532,0.223700349,0.031757024,0.457590339,0.513743815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler County,11005.65,0.199,3.9,3.5,0.104,0.305,0.383,6.352247144,0.369,0.473241992,0.109,0.153846154,639.2,61.4676981,0.163784037,0.000338983,0.000295465,,128.3004193,0.776053215,0.580508475,0.72,0.461697723,0.108502752,0.421,0.276,0.493861944,452.9189904,70.8,12.82,0.251332183,0.16521197,0.887067156,0.321,553,63.98582468,10.8,0.16,219.8,0.227,0.028320291,7.525381058,28.73327313,0.210436479,0.046395858,11331.14966,,0.185,30605,0.678741093,9.57775771,20307,0.231299552,0.174422613,0.432323527,0.003204195,0.008932906,0.000388387,0.010971939,0.538353238,0.001749151,0.530585494,0.712321574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Calhoun County,11097.28,0.227,5.2,5.1,0.09,0.244,0.332,6.641993038,0.333,0.405129373,0.116,0.2,663,50.71183623,0.169482389,0.000670645,0.000468899,,91.52823005,0.797278912,0.551776266,0.787223368,0.507963518,0.075727488,0.314,0.224,0.387595441,553.3293546,78.4,12.89,0,0.144549763,0.844466687,0.265,532.3,81.3361308,8,0.139,185.4,0.175,0.100438239,11.18283693,22.73433881,0.213384874,0.052821345,11246.06057,,0.184,39212,0.509823921,11.30572524,117296,0.226904583,0.151599373,0.205016339,0.005016339,0.007732462,0.000984595,0.034155243,0.734541442,0.010611182,0.518575733,0.336968256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
