state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_poisoning_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,could_not_see_doctor_due_to_cost_raw_value,median_household_income_raw_value,children_eligible_for_free_lunch_raw_value,homicides_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
US,United States,6621.61,0.163,3.7,3.4,0.08153925,0.203,,,,0.846570754,0.152,0.31341336,453.3,36.56578888,,,,,59.29,0.845712006,0.629826778,,,,0.222,,,,392.0409397,59.35084566,,,,,,333.9,52.76540931,6.6,,,0.159,0.056530469,12.35867609,12.14932554,,,9686.92,,0.142,52250,0.35118146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,9507.9,0.205,4.3,4.3,0.102963848,0.219,0.332267799,6.7,0.293712083,0.641049631,0.122,0.278639204,635,46.65229462,0.157667473,0.000627537,0.000443344,0.000694082,71.52,0.842344458,0.627107088,0.76947372,0.579557661,0.064637931,0.274,5.207701762,0.382586363,12.50512492,417.9688725,75.1989802,12.8,0.047530243,0.151932812,0.84953408,0.323,459.7,73.30352795,9.1,0.129,289.9,0.185695921,0.07675223,11.47292739,20.89055231,0.202251742,0.043375949,10126.93,0.000461756,0.163,42882,0.500266579,9.1,4833722,0.229943096,0.149194761,0.262767491,0.006947234,0.012797385,0.001062535,0.040966154,0.664207623,0.014023585,0.51479481,0.409631829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County,8405.21,0.228,5.1,3.6,0.090850791,0.217,0.313,7.2,0.279,0.736838247,0.167,0.333333333,508,36.49986252,0.128367074,0.000324243,0.000289614,0.000126706,79.74,0.846153846,0.68797954,0.81,0.560371517,0.056874828,0.196,4.171513796,0.296293701,13.14983608,253.6446171,73.32345911,12.92,0,0.1225,0.885188867,0.42,431.9,41.16214455,8,0.121,181.1,0.135,0.097935304,8.233797348,21.24850928,0.168538991,0.037103412,9939.29,0.000162908,0.156,51868,0.383409669,4.6,55246,0.253936937,0.135141006,0.182728161,0.005013938,0.011367339,0.000941245,0.026988379,0.759041379,0.004764868,0.51496941,0.420021623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Baldwin County,7456.89,0.127,3.3,3.8,0.086701816,0.206,0.25,7.6,0.252,0.736180836,0.179,0.302816901,357.5,44.53266153,0.157902919,0.000754757,0.000465378,0.000726194,51.36,0.810602995,0.661016949,0.74,0.624892268,0.058395467,0.208,4.417148275,0.292427276,11.63582997,220.6651063,74.53511183,13.13,0.011535344,0.14090877,0.836949106,0.349,360.8,56.16018066,6.4,0.115,188.1,0.135,0.054602606,15.29234666,16.56670888,0.199049338,0.053567823,9501.9,0.000291501,0.144,47539,0.344076655,4.3,195540,0.224220108,0.181349085,0.093796666,0.00737445,0.008842181,0.000659712,0.045765572,0.83121612,0.015600296,0.511675361,0.422790991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Barbour County,8900.51,0.234,4.8,4.3,0.118778754,0.251,0.384,5,0.323,0.44145391,0.135,0.434782609,716.9,72.87379973,0.175284306,0.00044116,0.000369331,3.69331E-05,86.93,0.857142857,0.617940199,0.696961078,0.423283262,0.100415033,0.424,5.473985642,0.558246631,8.455571486,146.8885763,56.1052739,12.62,0.526365894,0.18561001,0.822001528,0.331,443.7,84.08660921,13.5,0.148,388.1,0.227,0.114203157,,18.66639013,0.228395499,0.045462115,10413.95,0.000110799,0.169,30981,0.696779262,,27076,0.21110947,0.158590634,0.471450731,0.005872359,0.005244497,0.001846654,0.048345398,0.463325454,0.022308589,0.465135175,0.677896347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bibb County,10729.22,0.179,4.7,5.1,0.127874369,0.259,0.373,7.6,0.332,0.3943705,0.112,0.310344828,371.7,50.85085085,0.151046458,0.000265522,0.000177683,,70.85,0.828746177,0.617283951,0.8,0.5,0.068497758,0.356,4.513785692,0.371764237,10.62087888,235.9521105,80.75559145,12.87,0,0.09550173,0.832122371,0.475,539.7,107.9595642,13.9,0.127,106.7,0.154,0.02144661,18.93210317,25.87387433,0.192836812,0.042057006,10825.24,8.88415E-05,0.163,39781,0.546482057,7.8,22512,0.212908671,0.142857143,0.220149254,0.003953447,0.001554726,0.001332623,0.020700071,0.745646766,0.004286247,0.459932481,0.683526075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Blount County,8668.52,0.242,5.9,3.9,0.07690755,0.213,0.309,8.5,0.298,0.255085308,0.055,0.180327869,160.8,47.23921629,0.182957601,0.000293985,0.000190075,5.18385E-05,84.79,0.86122449,0.598958333,0.851219512,0.491942735,0.056070842,0.266,3.983750614,0.276298841,8.646629544,219.0343442,91.91528475,12.66,0,0.118348843,0.833303809,0.584,430.5,49.82206406,6.3,0.132,92.8,0.118,0.010624677,18.2982158,25.56737002,0.23345169,0.058770656,10280.81,6.91181E-05,0.173,44392,0.442297967,4.3,57872,0.238422726,0.164086259,0.016380979,0.00604783,0.002782002,0.001123168,0.087106027,0.878334946,0.023225663,0.505529444,0.89951502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bullock County,10743.52,0.23,4.2,,0.136325148,0.378,0.432,3.8,0.328,0.234377863,,0.416666667,964.3,84.59696728,0.175519008,0.000381898,0.000187988,9.39938E-05,68.39,0.771144279,0.516853933,0.725,0.357209592,0.119908204,0.442,5.263340892,0.624079688,11.456941,283.3508523,85.39075552,12.75,0.154976405,0.134308511,0.825317717,0.468,498.5,127.078259,,0.176,409.1,0.241,0.201517301,,54.19194523,0.232061069,0.041143352,9975.59,0.000563963,0.167,25937,0.859987155,,10639,0.210264123,0.146160353,0.68878654,0.007895479,0.00272582,0.007707491,0.077920857,0.222107341,0.036952419,0.451734186,0.513743815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler County,10357.46,0.199,3.9,3.5,0.108037578,0.305,0.384,6,0.373,0.500692223,0.109,0.217391304,738.7,63.34142573,0.166017614,0.000344709,0.000246731,0.000148039,116.92,0.860619469,0.602678571,0.66,0.443638624,0.093146664,0.398,5.100480417,0.512090164,11.81858472,483.0378778,82.91554184,12.82,0.502664365,0.177997528,0.88205605,0.329,528.1,50.74854098,,0.161,219.8,0.221,0.028320291,8.939069924,21.31624367,0.216001325,0.03694479,11377.53,0.000345423,0.185,31041,0.693524321,8.2,20265,0.233358006,0.17749815,0.432815199,0.003552924,0.009573156,0.000493462,0.012188502,0.535356526,0.002379474,0.534320257,0.712321574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Calhoun County,10538.61,0.227,5.2,5.1,0.086887991,0.244,0.315,6.4,0.332,0.567680397,0.116,0.225352113,684.6,49.32844933,0.152928227,0.000639408,0.000522547,0.000848067,84.63,0.805543335,0.570066031,0.81824048,0.513172301,0.072664016,0.287,5.164495647,0.395983327,14.74901105,504.5156397,77.88875653,12.89,0,0.145127926,0.856322353,0.28,527.2,77.94232268,8.3,0.132,185.4,0.172,0.100438239,12.05991953,17.54170113,0.196510974,0.036874228,11404.65,0.000342654,0.184,37898,0.529906187,12,116736,0.222133703,0.155470463,0.206551535,0.005045573,0.008335047,0.000925165,0.034830729,0.731419614,0.008348995,0.516858553,0.336968256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
