state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,drug_overdose_deaths_-_modeled_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,median_household_income_raw_value,children_eligible_for_free_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
US,United States,6605.3,,,,0.081198476,,,,,0.839210868,,0.309066285,,34.52137604,,,,,53.76,0.849249407,0.63,,,,0.217,,,,392.0409397,59.64472844,,,,,,332.4,51.3221929,6.387160772,0.118,0.116,,,,0.056530469,13.96764771,14.7,11.59364913,0.348,,,9541.42,,53657,0.43193338,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,9544.7,0.219,4.6,4.7,0.102259732,0.211,0.335911859,6.6,0.29318673,0.628066906,0.133,0.29669306,611.029852,44.23245217,0.158717717,0.000637604,0.000453873,0.000743807,65.43,0.849138163,0.63,0.813833548,0.583515148,0.068001533,0.274,5.23025474,0.383854124,12.5120973,417.9688725,74.249383,12.8,0.28358209,0.153863108,0.85306977,0.326,461,72.7840731,8.944142995,0.148,0.149,0.123630838,298.0192505,0.188006261,0.07675223,12.98162125,15.2,19.81297925,0.384,0.20150824,0.047270452,9950.36,0.000520273,42917,0.5140491,57.89175345,52.31882765,9,4849377,0.228394493,0.153407747,0.263646031,0.006964194,0.013328104,0.001049413,0.041379336,0.661865844,0.013132712,0.515408474,0.409631829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County,9215.1,0.194,4.4,4.3,0.087867012,0.187,0.309,7.1,0.287,0.708214986,0.151,0.318181818,416.1112512,35.18352112,0.134205355,0.000398219,0.000324939,0.000126365,62.38,0.838440111,0.62,0.83,0.564707496,0.058830469,0.181,4.303481107,0.273062993,13.75665207,253.6446171,76.43785057,12.92,0,0.136192626,0.892301359,0.417,456.4,50.48834416,7.054296708,0.129,0.128,0.109,205.4068381,0.139,0.097935304,7.824019741,5,19.71531091,0.376,0.174811806,0.038590719,10165.85,0.000180522,54366,0.369455593,32.84197911,28.53396636,5.1,55395,0.251773626,0.13829768,0.18494449,0.004964347,0.010885459,0.001010922,0.027330987,0.755970756,0.004814292,0.513620363,0.420021623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Baldwin County,7454.6,0.16,4.1,4.2,0.085072966,0.186,0.267,7.6,0.252,0.721685458,0.151,0.394366197,308.1922533,41.62056131,0.174820025,0.000751764,0.000479734,0.000779567,49.28,0.84004693,0.66,0.8,0.623359182,0.060537202,0.198,4.494800495,0.282253744,12.01800143,220.6651063,70.18159488,13.13,1,0.147079038,0.84071152,0.368,356,51.34248941,5.919469199,0.122,0.128,0.109,174.3248816,0.137,0.054602606,16.02889293,10,15.9008659,0.328,0.220683207,0.057132757,9489.87,0.000339811,49626,0.361603046,47.07210747,34.71646432,3.8,200111,0.221607008,0.186821314,0.093957853,0.007435873,0.009079961,0.000639645,0.045624678,0.830004348,0.014298983,0.512285681,0.422790991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Barbour County,8499.9,0.257,4.9,4.7,0.121482805,0.214,0.408,5.1,0.329,0.45267145,0.124,0.391304348,632.3296938,67.9023347,0.174398934,0.000369331,0.000371927,7.43854E-05,60.85,0.900383142,0.63,0.80530303,0.433585685,0.108092748,0.381,5.285566706,0.544800411,8.125276998,146.8885763,63.73159476,12.62,1,0.175596817,0.835199824,0.351,430.8,59.79583992,12.95986622,0.154,0.149,0.153,399.4269092,0.223,0.114203157,,3,18.22204868,0.396,0.22512599,0.051342282,10077.19,0.000185964,34971,,30.78853386,25.65645352,4.5,26887,0.211663629,0.164875219,0.471938111,0.005913639,0.004909436,0.001748057,0.045337896,0.465838509,0.02150664,0.466136051,0.677896347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bibb County,11007.7,0.22,4.8,4.6,0.124157303,0.21,0.401,7.4,0.332,0.328387519,0.138,0.34375,367.3053945,48.3937397,0.149541391,0.000355366,0.00017773,,73.81,0.838323353,0.59,0.81,0.489278752,0.071378505,0.268,4.251361262,0.32045221,9.772565743,235.9521105,74.7377584,12.87,0,0.12999323,0.840344783,0.457,541.7,110.6305944,14.0213124,0.148,0.143,0.125,124.8374512,0.162,0.02144661,14.78961769,8,23.91832521,0.406,0.190112252,0.042453788,10674.38,0.000266596,39546,0.549640288,40.55975965,40.0086247,7.4,22506,0.210210611,0.147871679,0.21909713,0.004221097,0.00222163,0.001288545,0.02106105,0.745223496,0.005210999,0.459344175,0.683526075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Blount County,8655.9,0.207,4.6,4.5,0.074727982,0.194,0.324,8.3,0.285,0.255085308,0.141,0.192307692,159.0979836,45.34792807,0.176069513,0.000259193,0.000190579,0.000051976,62.87,0.862068966,0.61,0.849753623,0.491499335,0.061469083,0.241,4.124185627,0.282611833,8.46696157,219.0343442,88.52998563,12.66,0,0.12339515,0.850730783,0.59,430.3,51.89877948,6.049606776,0.139,0.138,0.117,93.72656836,0.121,0.010624677,24.21907887,8,24.66779458,0.362,0.222933812,0.060368921,10092.8,8.66266E-05,45567,0.450030594,62.46644777,34.35306019,3.3,57719,0.235901523,0.170013341,0.016372425,0.00628909,0.002910653,0.001143471,0.087354251,0.877561981,0.017650324,0.50531021,0.89951502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bullock County,10262.1,0.293,5.3,4.8,0.137023594,0.223,0.445,3.9,0.331,0.231995602,0.113,0.44,992.9348864,83.47315436,0.185219832,0.000375975,0.000185805,9.29023E-05,70.25,0.882978723,0.6,0.825,0.345070423,0.090831374,0.431,5.767400807,0.725361367,10.33931761,283.3508523,89.62581223,12.75,0,0.153743316,0.777165354,0.471,469.4,152.2070015,,0.17,0.155,0.173,368.3035714,0.237,0.201517301,,4,47.66949153,0.441,0.242384106,0.049441101,9293.84,0.000557414,26580,,16.08035775,15.19969585,,10764,0.214232627,0.148643627,0.691192865,0.008361204,0.002508361,0.007339279,0.07460052,0.221200297,0.02573603,0.452526942,0.513743815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler County,11155.1,0.274,5.3,5.1,0.110042735,0.228,0.36,6,0.344,0.460065881,0.105,0.310344828,773.1324174,56.61664393,0.15529185,0.000394769,0.000246354,0.000197083,106.01,0.810699589,0.62,0.68,0.436992293,0.085701935,0.367,5.036662643,0.52347173,11.34961757,483.0378778,79.58383478,12.82,1,0.185889571,0.864247487,0.35,538.2,51.66089787,,0.172,0.164,0.162,241.95928,0.223,0.028320291,,5,19.32647244,0.406,0.200686537,0.040749796,10754.38,0.000394166,32512,0.70816641,33.80922533,33.40415577,10.2,20296,0.235563658,0.179542767,0.436933386,0.003695309,0.009459992,0.000443437,0.011972803,0.530991328,0.00425974,0.535819866,0.712321574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Calhoun County,10352,0.223,4.9,4.9,0.0887331,0.238,0.32,6.2,0.336,0.592854974,0.129,0.25,680.330105,47.23742277,0.159577455,0.000633909,0.00053487,0.000879948,77.25,0.810100167,0.56,0.830031621,0.537333928,0.079191885,0.281,5.105586092,0.40043638,14.22012061,504.5156397,72.69466204,12.89,0,0.145307549,0.854502955,0.288,520.7,62.88363711,7.976366322,0.15,0.148,0.126,201.9545957,0.178,0.100438239,9.429972453,6,17.3913255,0.39,0.203831201,0.039185656,11040.74,0.000353704,41123,0.535585042,51.42930746,47.0358177,10.8,115916,0.221643259,0.159589703,0.207943683,0.005193416,0.008782222,0.000966217,0.035284171,0.728544808,0.008297213,0.517926775,0.336968256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
