state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,disconnected_youth_raw_value,median_household_income_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,firearm_fatalities_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
US,United States,6601.2,,,,0.080880922,,0.277063144,,0.22265671,0.839210868,,0.300599111,456.1,32.07957108,0.135397426,0.000756537,0.000655942,0.001998225,49.9,0.851625451,0.630584746,,0.641971666,0.052800209,0.207,4.954047543,0.336505831,9.367677283,379.8544891,62.23853328,,,,0.764047203,0.343,333.3,50.39880654,6.284350594,,,0.099278244,353.2,0.154,0.056530469,14.99793944,10.94875594,0.348,0.163747132,0.062778456,9588.57,0.000739586,0.138,55775,0.517945204,,,5.2,10.7,321418820,0.229125074,0.148593825,0.124217832,0.012478688,0.055946304,0.002365107,0.176071809,0.615927879,0.045321834,0.507716141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,9573.2,0.212253779,4.461353573,4.426816563,0.101793259,0.214049468,0.340408063,6.5,0.276845045,0.628066906,0.12965296,0.294323756,600.2,41.41500086,0.141613838,0.000644413,0.000457709,0.000794817,61.13,0.84960256,0.627884556,0.893225368,0.589865045,0.061026824,0.265,5.244407094,0.381970918,12.4284006,436.0252882,75.59945464,10.1,0.28358209,0.154417423,0.854488061,0.33,463.5,72.4540888,8.891091145,0.143598641,0.142027324,0.137196153,297.4,0.188,0.07675223,14.14515862,18.41593033,0.384,0.180599533,0.039780315,9961.85,0.000591482,0.179209414,44833,0.517693016,57.2551627,51.58255018,8.5,17.6,4858979,0.227104501,0.157268019,0.264511742,0.006993239,0.013829243,0.001042812,0.041845211,0.659517771,0.012302324,0.515704019,0.409631829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County,9158.2,0.178788141,4.224030558,4.181840019,0.087892771,0.173802394,0.341,6.9,0.286,0.708214986,0.149541225,0.326530612,398.2,32.41877763,0.110162345,0.0004152,0.000307153,0.000126475,58.59,0.839662447,0.626931567,0.9,0.596745152,0.052434013,0.188,4.31354924,0.251656106,13.71964979,265.6997471,76.23686179,10.8,0,0.147234679,0.874834163,0.426,468.4,55.30184102,6.908462867,0.123124853,0.125687935,0.13,205,0.144,0.097935304,9.63925103,18.9376743,0.376,0.142147679,0.034698795,9858.62,0.000234882,0.1225,56580,0.489026915,33.86669797,30.49968344,3.6,16.3,55347,0.247005258,0.143115255,0.189585705,0.00482411,0.011997037,0.000993731,0.028420691,0.749074024,0.006502626,0.51475238,0.420021623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Baldwin County,7393.9,0.163619727,3.736320366,3.966089294,0.086306401,0.179371199,0.274,7.5,0.223,0.721685458,0.153780314,0.342281879,341.1,38.01940781,0.161329919,0.00073959,0.000476169,0.000834524,47.61,0.832122371,0.659652333,0.85,0.628876644,0.054869669,0.196,4.524767732,0.267836554,11.54359331,216.7730783,71.45292041,9.6,1,0.147028724,0.846527975,0.377,361.3,47.72835746,6.279434851,0.116279969,0.124807314,0.104,169,0.137,0.054602606,17.18499733,15.31521705,0.328,0.204590417,0.049109964,9412.78,0.000373081,0.1593,52387,0.418388025,43.48090709,31.90003155,3.1,15.7,203709,0.219523929,0.191753924,0.093702291,0.00738799,0.009361393,0.000603803,0.045496272,0.829595158,0.011693848,0.512608672,0.422790991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Barbour County,8573.1,0.250204013,4.806056641,4.768078188,0.116690579,0.227766886,0.444,4.9,0.318,0.45267145,0.1192345,0.384615385,613.1,59.02129249,0.153420943,0.00040912,0.000377515,0.000075503,73.5,0.891428571,0.63030303,0.861734694,0.392669433,0.089391304,0.452,5.562509792,0.564555633,8.182392978,328.659071,67.52144362,10.1,1,0.161956522,0.837665406,0.355,439.5,65.78081831,12.05357143,0.1556198,0.151087104,0.184,399.9,0.233,0.114203157,,18.95874367,0.396,0.198807596,0.044966786,10117.09,0.000264261,0.3039,31433,0.673681407,24.99868733,21.14395618,6.8,13.4,26489,0.212503303,0.171618408,0.472988788,0.005775983,0.004454679,0.001849825,0.044244781,0.465853751,0.017559711,0.465891502,0.677896347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bibb County,11766.1,0.195402311,4.354389668,4.3680625,0.11968236,0.198507658,0.403,7.3,0.339,0.328387519,0.143096517,0.333333333,444.2,47.49787956,0.135641714,0.000399893,0.000177124,,77.35,0.81981982,0.613065327,0.85,0.502220181,0.066077739,0.293,4.272871439,0.295696721,10.21949702,147.2908995,81.44187529,10.5,0,0.136812412,0.831860579,0.465,521,104.7833604,11.79775281,0.132117057,0.133375711,0.148,120,0.164,0.02144661,14.79268058,22.03752676,0.406,0.17172524,0.039544514,10817.25,0.000487092,0.2519,40767,0.634495085,42.01138079,41.25128756,8.2,21.2,22583,0.207722623,0.150201479,0.22051986,0.004250985,0.002302617,0.001372714,0.024088916,0.740557056,0.003539658,0.461099057,0.683526075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Blount County,9332.8,0.189476081,4.451573142,4.483831864,0.073489724,0.210373815,0.346,8.3,0.28,0.255085308,0.139028877,0.204081633,124.4,43.2304038,0.164752484,0.000190579,0.000190731,6.93565E-05,63.02,0.876595745,0.595842956,0.9120625,0.512136776,0.054040736,0.222,4.037139127,0.273812139,8.489405568,211.5988362,96.61768831,11.3,0,0.115348176,0.848667122,0.598,445.4,43.87728985,6.360279032,0.132586194,0.134713731,0.141,95.5,0.122,0.010624677,20.77754179,20.82145602,0.362,0.208146117,0.056534352,10035.61,8.66957E-05,0.1286,50487,0.5307829,50.27637516,31.92311048,5.7,17.7,57673,0.231997642,0.175298667,0.017113727,0.006536854,0.002843618,0.001109705,0.089539299,0.87394448,0.016948214,0.505921315,0.89951502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bullock County,10857.7,0.282579451,4.955858648,4.566029653,0.134299517,0.22774925,0.43,3.8,0.317,0.231995602,0.113809536,0.619047619,939.9,77.78274475,0.173097113,0.000278707,0.000186986,9.34929E-05,76.3,0.858490566,0.6,0.875,0.336215497,0.077728892,0.512,6.043342185,0.732735426,10.21924935,302.2860382,101.666196,9.8,0,0.180481283,0.74948025,0.471,546.6,111.3833816,,0.158029286,0.147054324,0.196,361.8,0.244,0.201517301,,46.65671324,0.441,0.227857542,0.044863732,9275.93,0.00065445,,28251,0.638578012,27.77355969,25.71785646,,,10696,0.206619297,0.152860883,0.689323111,0.008414361,0.002337322,0.007011967,0.07526178,0.223074046,0.030590823,0.452412117,0.513743815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler County,12427.4,0.266212903,5.242030843,4.977991008,0.111416026,0.218323475,0.363,6,0.344,0.460065881,0.113774884,0.366666667,804.3,55.80200794,0.143968168,0.000443437,0.00024809,0.00024809,86.37,0.807050093,0.623616236,0.83,0.432730297,0.075475826,0.36,4.870098389,0.516033128,11.82499015,523.4399357,91.47061138,9.4,1,0.164541591,0.84491219,0.33,560.2,100.3220867,,0.160573891,0.155298137,0.177,250.4,0.226,0.028320291,,20.21103104,0.406,0.186600455,0.037793048,10407.71,0.000496179,0.2295,33868,0.711689126,34.82274599,33.79162875,13.2,26.6,20154,0.234792101,0.183784857,0.439763819,0.003522874,0.009923588,0.000496179,0.011709834,0.527885283,0.004866307,0.535030267,0.712321574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Calhoun County,10716.9,0.220032046,4.908456531,4.665515339,0.088653213,0.203203824,0.322,6.1,0.313,0.592854974,0.146624727,0.216666667,723.9,44.62975556,0.142158355,0.000664274,0.000553538,0.000890849,71,0.812700965,0.568954458,0.921633739,0.53978569,0.069792187,0.307,4.878978557,0.396044586,14.66579247,574.3235555,76.96725035,11.6,0,0.148799646,0.852610693,0.299,550.4,70.32213317,7.90869957,0.144392106,0.141539756,0.149,198,0.182,0.100438239,13.20806726,15.48214068,0.39,0.181720845,0.034197087,10672.9,0.000423802,0.2045,42091,0.607295259,49.88459309,45.35005641,9.3,21.1,115620,0.221155509,0.163466528,0.208666321,0.005284553,0.008856599,0.000942744,0.036144266,0.726154645,0.008048656,0.517773742,0.336968256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
