state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,drug_overdose_deaths_-_modeled_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,disconnected_youth_raw_value,median_household_income_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,firearm_fatalities_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
US,United States,6658.113945,,,,0.080716887,,0.28,7.7,0.23,0.830934357,,0.29279146,478.8,26.95026485,0.109216938,0.000754803,0.000673604,0.002142467,49.45,0.851625451,0.630584746,,0.647394125,0.048690359,0.195,4.960280167,0.335642401,9.294539754,379.8544891,64.58209609,,,0.187622122,0.764073132,0.347,336.4,50.44100072,5.968923764,,,0.1,362.3,0.134,0.059012425,16.92863051,19.7851,11.06043004,,0.13208082,0.050479929,9728.93,0.000812184,,57617,0.522999554,,,5.265961566,11.02622684,323127513,0.227904719,0.152398645,0.124499569,0.012548139,0.05669131,0.002387525,0.177856372,0.612667136,0.044862396,0.507689947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,9642.412033,0.214024057,4.40045752,4.577366748,0.101486972,0.215381544,0.347,5.6,0.29,0.628189507,0.141781459,0.258924537,543.6,35.553835,0.118981338,0.000651577,0.000467584,0.000844077,62.02,0.84960256,0.627884556,0.893225368,0.595828128,0.059870092,0.247,5.265774488,0.380895157,12.27006744,436.0252882,76.99133721,10.1,0.074626866,0.154570006,0.857281392,0.334,468.7,72.79316446,8.681847377,0.14016049,0.145488312,0.137,302.4,0.177,0.07921425,15.20074314,16.2075,19.1157158,0.377209546,0.152523192,0.030900499,10260.56,0.000673822,0.17102818,46309,0.510895535,57.20440843,51.55023281,8.834696441,18.61528606,4863300,0.225530607,0.161320708,0.264898937,0.006977155,0.014159933,0.001042091,0.041914955,0.65838772,0.011379624,0.515640409,0.409631829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County,9409.294766,0.184111244,4.200577983,4.306739284,0.085946312,0.191246585,0.364,7.1,0.309,0.71120192,0.168780151,0.267857143,341.2,27.99675827,0.093877119,0.000451696,0.000324816,0.000126317,81.85,0.839662447,0.626931567,0.9,0.619420189,0.052711607,0.193,4.388346157,0.244714089,13.9122265,265.6997471,72.58466405,10.8,0,0.152179266,0.867500617,0.408,449.6,56.18690301,7.718501703,0.128244345,0.126383571,0.124,225.5,0.139,0.11991125,10.2312257,5,20.16775435,0.359054061,0.12193092,0.025953131,10674.34,0.000288725,0.1457,54487,0.484753877,26.3470479,24.00091231,3.619853344,16.97253339,55416,0.244081132,0.147285982,0.190486502,0.004854194,0.011404649,0.001010539,0.026887542,0.75,0.00832739,0.512884366,0.420021623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Baldwin County,7467.596664,0.180604578,4.098747769,4.249648781,0.084802905,0.167954852,0.293,7.9,0.245,0.685189148,0.167149687,0.303797468,338.8,31.96513779,0.115243966,0.000726527,0.000493856,0.000891817,46.3,0.832122371,0.659652333,0.85,0.637570997,0.054152628,0.176,4.600735228,0.258114409,11.04516737,216.7730783,71.49201022,9.6,0,0.14310156,0.846460433,0.401,351.3,47.68877743,5.545407098,0.126220016,0.128225582,0.111,163.9,0.13,0.054244266,18.4525044,10,15.28118477,0.333058681,0.147198609,0.032734385,9537.12,0.000436319,0.1541,56460,0.457954803,43.96994085,30.67491516,2.705281514,14.71894328,208563,0.2173444,0.197081937,0.090428312,0.007709901,0.01074975,0.000594545,0.044164114,0.832021979,0.008188092,0.514578329,0.422790991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Barbour County,8929.474982,0.257734156,5.067438304,4.634994147,0.117412935,0.215408776,0.442,5.5,0.306,0.528426267,0.126987154,0.357142857,557.9,50.18920534,0.133104521,0.000415267,0.000346621,7.70268E-05,58.44,0.891428571,0.63030303,0.861734694,0.397236615,0.086485184,0.396,5.861660079,0.563014899,7.927819095,328.659071,66.60779236,10.1,0,0.152542373,0.827849254,0.351,433.6,66.59563133,,0.162161596,0.146323106,0.182,436,0.234,0.107396666,,4,18.5978299,0.385631671,0.174015509,0.036341506,9790.62,0.000269594,0.3068,32884,0.663026106,25.58944974,22.35676524,8.501865097,14.21964107,25965,0.211361448,0.180165608,0.475139611,0.006316195,0.004506066,0.001733102,0.042133641,0.464509917,0.0151937,0.46932409,0.677896347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bibb County,11741.93889,0.199969119,4.363377278,4.315710019,0.112582782,0.199164042,0.384,7.6,0.375,0.485926249,0.159251508,0.275862069,302.1,47.26027397,0.118558812,0.000531373,0.000220819,8.83275E-05,92.87,0.81981982,0.613065327,0.85,0.498213706,0.066371165,0.275,4.22812682,0.314279643,10.62746314,147.2908995,95.70989268,10.5,0,0.123587571,0.850724638,0.488,529.1,116.3159564,14.77541371,0.131629683,0.128540361,0.146,191.9,0.161,0.02601627,22.14610524,8,27.12557248,0.381488654,0.150705685,0.031412523,10755.78,0.000750784,0.2513,43079,0.613184828,43.4873279,42.1680096,8.200754469,21.26886504,22643,0.207525505,0.154308175,0.216181601,0.003798083,0.001987369,0.001192422,0.024996688,0.744159343,0.004481374,0.463631144,0.683526075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Blount County,9359.122343,0.210953232,4.512752648,4.701599259,0.077916667,0.196521582,0.358,8.5,0.29,0.32272077,0.153787219,0.2,114.3,39.62477762,0.139636594,0.00020807,0.000190628,8.66491E-05,57.82,0.876595745,0.595842956,0.9120625,0.538664574,0.05520897,0.194,4.068236891,0.272942394,8.842959444,211.5988362,104.5728097,11.3,0,0.110580368,0.861077283,0.602,480.2,55.37507383,5.294366794,0.137200568,0.138279427,0.144,95.4,0.113,0.028801498,21.37542173,8,22.53629954,0.359450104,0.17699115,0.044895316,10326.33,0.000121309,0.1535,47213,0.545201669,39.9387033,24.22629901,6.191291082,19.044717,57704,0.231907667,0.179866214,0.014349092,0.006273395,0.002651463,0.001126438,0.090686954,0.874670733,0.018785061,0.506134757,0.89951502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bullock County,12343.05287,0.294077139,5.22661939,4.791918477,0.147270855,0.234782912,0.402,4.5,0.298,0.221916804,0.128963173,0.666666667,733.9,65.83541147,0.145044319,0.000280479,0.000193013,9.65065E-05,67.02,0.858490566,0.6,0.875,0.337160752,0.071710663,0.457,6.046643914,0.719259586,9.349289454,302.2860382,109.5683385,9.8,0,0.18024032,0.764465786,0.377,581.5,133.9285714,,0.166324794,0.148400547,0.195,691.3,0.244,0.197433507,,5,48.39295076,0.450206359,0.191509434,0.032130282,10314.38,0.000772052,0.3963,34278,0.671760797,19.76566855,19.11312296,,,10362,0.21298977,0.162516889,0.692723413,0.009071608,0.002605675,0.007334491,0.077880718,0.215305926,0.009575648,0.459563791,0.513743815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler County,12779.30485,0.265026132,5.117432617,5.134573082,0.116158712,0.221976555,0.36,6.5,0.339,0.460400057,0.130428113,0.275,827.7,43.45772319,0.122426471,0.000347326,0.00030003,0.000250025,93.13,0.807050093,0.623616236,0.83,0.422217668,0.071287779,0.366,5.05293385,0.509044478,10.91594721,523.4399357,97.01049297,9.4,0,0.148394912,0.850864647,0.317,602.7,100.2321165,,0.161979282,0.154742051,0.175,268.4,0.22,0.029261219,,5,21.03536044,0.419110839,0.160396717,0.027504105,10176.13,0.000550055,0.2067,35409,0.72631579,30.05662364,29.09462613,16.12710967,30.68699268,19998,0.235723572,0.190219022,0.441044104,0.00380038,0.010751075,0.00050005,0.01310131,0.522152215,0.008703859,0.533853385,0.712321574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Calhoun County,11527.7812,0.195847014,4.290448066,4.476572166,0.087667162,0.204622318,0.361,6.8,0.325,0.48217117,0.15431677,0.228571429,587.5,39.71172778,0.113968681,0.000648677,0.000602037,0.000942318,72.8,0.812700965,0.568954458,0.921633739,0.567435239,0.066973839,0.257,4.86160925,0.383805732,14.01141671,574.3235555,74.11505759,11.6,0,0.15292172,0.849859161,0.294,564.3,77.28958156,8.75974789,0.130209526,0.138065685,0.163,211.2,0.174,0.091785666,15.60030854,6,17.02288169,0.41314344,0.14514503,0.028918406,10901.19,0.00050606,0.1907,41778,0.588683412,46.98479622,41.77834222,9.185008107,22.23451728,114611,0.218303653,0.168805787,0.207344845,0.005200199,0.009196325,0.000985944,0.035773181,0.726239192,0.00709622,0.518911797,0.336968256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
