state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,life_expectancy_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,other_primary_care_providers_raw_value,disconnected_youth_raw_value,median_household_income_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,firearm_fatalities_raw_value,homeownership_raw_value,severe_housing_cost_burden_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,opioid_hospital_visits_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,childhood_immunizations_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
US,United States,6900.630354,,,,0.080892613,,0.285,7.7,0.222,0.838944817,,0.285715097,497.3,24.71032641,0.100088588,0.000754309,0.000684307,0.00228689,,,,0.846,0.652256398,0.043555688,0.184,4.941485753,0.332516848,9.300353201,386.4648965,67.38726382,,,0.183730895,0.764422314,0.352,79.06385041,339.5,50.28004417,5.888756901,,,0.102,362.3,0.129,0.059012425,19.19814709,11.19915613,,0.120802892,0.046702193,0.000882374,0.069609858,60336,0.519629306,,,5.4,11.3,0.638186806,0.151241788,325719178,0.226131536,0.156142722,0.124808018,0.012600716,0.058298867,0.002411498,0.180974081,0.607281046,0.044553924,0.50752633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,9917.232898,0.214024057,4.40045752,4.577366748,0.101454926,0.215381544,0.351,5.8,0.282,0.616496183,0.141781459,0.285902503,543.6,33.11347994,0.107717996,0.000653877,0.000476127,0.000905073,5496,0.42,0.42,0.893,0.598647499,0.043967852,0.244,5.238579235,0.381046162,12.24271585,479.9191819,79.90897905,11,0.074626866,0.149121502,0.858685286,0.337,75.41303499,472.4,71.78604171,8.510565722,0.14016049,0.145488312,0.139,302.4,0.165,0.07921425,15.94160345,19.40428177,0.377209546,0.138499883,0.026653898,0.000755937,0.083314057,48193,0.517414532,56.99891266,51.16147329,9.4,19.8,0.685743754,0.129176078,4874747,0.224724073,0.16488466,0.265209046,0.006996876,0.014634195,0.001074722,0.043296196,0.655798547,0.010748457,0.515905954,0.409631829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County,8824.057123,0.184111244,4.200577983,4.306739284,0.084757194,0.191246585,0.375,7.2,0.311,0.686775027,0.168780151,0.288135593,341.2,26.52420801,0.085009665,0.000415043,0.000324301,0.000162151,6599,0.44,0.41,0.9,0.60854665,0.038635223,0.193,4.636663878,0.247000969,12.63173091,272.2822201,74.0318084,11.7,0,0.149546458,0.859650565,0.383,76.33058901,438.7,53.27944148,7.699275362,0.128244345,0.126383571,0.142,225.5,0.134,0.11991125,9.623076137,20.37715798,0.359054061,0.109611038,0.024761905,0.000306284,0.080116533,58343,0.479316643,29.9453928,27.14756927,5.2,17.7,0.732877363,0.126452058,55504,0.239370136,0.15119631,0.192544682,0.004756414,0.012791871,0.00104497,0.028574517,0.744739118,0.008285483,0.513422456,0.420021623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Baldwin County,7224.63216,0.180604578,4.098747769,4.249648781,0.083386828,0.167954852,0.31,8,0.238,0.719710312,0.167149687,0.31875,338.8,29.59400943,0.10699288,0.000728797,0.000498523,0.000912392,3833,0.45,0.45,0.863615768,0.661339263,0.039883364,0.147,4.518559604,0.25184091,10.6922129,203.6603963,69.37428899,10.3,1,0.138317253,0.847194235,0.405,78.59949766,348.4,47.00001659,5.851337449,0.126220016,0.128225582,0.113,163.9,0.123,0.054244266,16.32261162,15.09236384,0.333058681,0.135703108,0.032380267,0.000522039,0.078257402,56607,0.450791312,43.90836097,33.2400592,2.9,14.4,0.728593383,0.12795922,212628,0.218484866,0.199470437,0.089531953,0.007760032,0.011564799,0.000686645,0.045502004,0.830473879,0.004545123,0.51452772,0.422790991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Barbour County,9586.165037,0.257734156,5.067438304,4.634994147,0.109526235,0.215408776,0.443,5.6,0.282,0.536256692,0.126987154,0.296296296,557.9,45.0928382,0.125131966,0.000385134,0.000356154,7.91452E-05,4736,0.46,0.37,0.814102564,0.367740081,0.059009228,0.503,5.755062606,0.572157434,8.472944348,414.2778607,72.90013441,11.5,0,0.154555315,0.834043533,0.338,75.77945737,469.8,77.08002721,,0.162161596,0.146323106,0.18,436,0.232,0.107396666,,20.96695286,0.385631671,0.165422397,0.029014237,0.000237436,0.120448179,32490,0.737698082,27.1024881,24.31376525,7,15.2,0.625068001,0.135867652,25270,0.207637515,0.188246933,0.47942224,0.006529482,0.004629996,0.001859913,0.042065691,0.459556787,0.011992732,0.472299169,0.677896347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bibb County,11783.54368,0.199969119,4.363377278,4.315710019,0.111050028,0.199164042,0.378,7.6,0.349,0.162513637,0.159251508,0.272727273,302.1,45.45454546,0.096800753,0.000574129,0.00026469,8.82301E-05,5998,0.44,0.39,0.837638376,0.484063104,0.043851399,0.273,4.254594439,0.295654036,10.15766462,89.34912598,100.0779368,11.2,0,0.109608541,0.863659023,0.486,73.92827108,563.7,111.7496807,14.79289941,0.131629683,0.128540361,0.149,191.9,0.158,0.02601627,22.09326303,25.2724688,0.381488654,0.12297319,0.026194468,0.000926416,,45795,0.65329687,39.37665069,38.49942387,8.2,21.3,0.753614806,0.087338893,22668,0.206061408,0.160225869,0.214575613,0.00427916,0.002205753,0.001146991,0.026380801,0.742985707,0.003943477,0.464531498,0.683526075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Blount County,10908.10182,0.210953232,4.512752648,4.701599259,0.079268293,0.196521582,0.344,8.5,0.285,0.229493039,0.153787219,0.21875,114.3,35.60055524,0.121140042,0.000225288,0.00020685,0.000103425,4162,0.36,0.38,0.934687954,0.544139975,0.04021393,0.185,4.126883464,0.295697329,9.011507001,482.6906109,105.1972275,11.7,0,0.10401153,0.867922751,0.597,74.59776688,501.8,76.03293524,6.184687567,0.137200568,0.138279427,0.143,95.4,0.11,0.028801498,24.79958475,25.71177105,0.359450104,0.155646042,0.034301362,0.000189613,0.151054591,48253,0.533117932,45.6811828,21.20576132,7.4,19.7,0.785210247,0.081944952,58013,0.233499388,0.178425525,0.014600176,0.006326168,0.003016565,0.001172151,0.095650975,0.869443056,0.018700043,0.506886388,0.89951502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bullock County,12066.91026,0.294077139,5.22661939,4.791918477,0.137320044,0.234782912,0.394,4.2,0.292,0.266904893,0.128963173,0.607142857,733.9,54.59317585,0.132064834,0.000289519,0.000194005,9.70026E-05,6767,0.44,0.26,0.702479339,0.336206897,0.04925187,0.483,6.599523479,0.761574074,9.650646593,311.0273327,109.9109342,11.2,0,0.207598372,0.730769231,0.473,73.11753012,568.2,135.4707609,,0.166324794,0.148400547,0.2,691.3,0.26,0.197433507,,46.07920202,0.450206359,0.176718093,0.027890238,0.000776021,,29113,0.689701897,21.18399108,19.54319235,,19,0.70027248,0.193948127,10309,0.207100592,0.158211272,0.691628674,0.008439228,0.001940052,0.00776021,0.082452226,0.213017752,0.011046924,0.455330294,0.513743815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler County,14018.60626,0.265026132,5.117432617,5.134573082,0.124117647,0.221976555,0.402,6.5,0.347,0.485797489,0.130428113,0.3125,827.7,42.14559387,0.106670843,0.00030003,0.000302648,0.00035309,7962,0.42,0.35,0.815899582,0.384441708,0.054884865,0.33,5.122785583,0.525643848,11.50115012,581.5840052,95.48628379,10.6,0,0.137802607,0.835629017,0.318,73.50538502,577.1,122.7714316,,0.161979282,0.154742051,0.179,268.4,0.217,0.029261219,,26.85607265,0.419110839,0.139828281,0.024958403,0.000655738,0.130869131,36842,0.785691472,34.92788416,34.34164107,17,23.9,0.70070922,0.112630609,19825,0.227339218,0.19556116,0.446153846,0.003783102,0.010290038,0.000504414,0.014375788,0.515964691,0.007127019,0.534325347,0.712321574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Calhoun County,12217.75998,0.195847014,4.290448066,4.476572166,0.0900233,0.204622318,0.371,6.9,0.302,0.447137604,0.15431677,0.178571429,587.5,37.04963896,0.111982059,0.000645662,0.000645004,0.000984938,6450,0.33,0.38,0.923680457,0.575222157,0.049339652,0.242,4.983813569,0.392977718,14.30927223,756.0665443,82.06214909,11.8,0,0.145388108,0.850223595,0.306,73.1029477,572.2,77.01345761,7.831777706,0.130209526,0.138065685,0.162,211.2,0.167,0.091785666,19.13270853,18.2108123,0.41314344,0.144313164,0.023045236,0.000505544,0.074612403,45937,0.590292887,47.12809615,41.2247915,10.3,24.2,0.693917825,0.11579095,114728,0.217897985,0.173122516,0.207900425,0.005290775,0.009910397,0.001124399,0.037497385,0.723110313,0.008809683,0.519306534,0.336968256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
