state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value
US,United States,6940.110519,0.171986764,3.752828263,3.970320984,0.081148029,0.170800174,0.29,7.6,0.233,0.841686917,0.189770902,0.2776411,524.6,22.7059505,0.10223446,0.000754665,0.000691249,0.002480274,4535,0.42,0.46,0.846,0.657241398,0.03895339,0.18,4.920017801,0.331023015,9.336324679,386.4648965,69.87440368,8.6,,0.179136089
AL,Alabama,9942.794667,0.220287029,4.918051715,4.939752942,0.102548706,0.209273531,0.355,5.8,0.298,0.611122874,0.139035153,0.275891706,614.1,30.89461645,0.110447826,0.000648239,0.000481805,0.001012302,5805,0.4,0.41,0.893,0.604119015,0.039335669,0.239,5.26113574,0.373427392,12.37192412,479.9191819,82.25024507,11,0.149253731,0.143407021
AL,Autauga County,8128.59119,0.208829873,4.743888867,4.654031397,0.086195286,0.180815572,0.333,7.2,0.347,0.691301241,0.150260313,0.267857143,407.2,25.28492716,0.08721686,0.000450418,0.000323735,0.000233809,7108,0.41,0.41,0.9,0.620099737,0.036290789,0.193,5.234597269,0.262426791,12.07120208,272.2822201,68.52699423,11.7,0,0.146634615
AL,Baldwin County,7354.12253,0.175091344,4.224519202,4.304056469,0.083450032,0.174890326,0.31,8,0.265,0.73713549,0.179583101,0.307692308,325,27.88069221,0.113334045,0.000728973,0.000495363,0.000963206,4041,0.43,0.44,0.863615768,0.673716198,0.036153822,0.139,4.417766679,0.241396015,10.20561732,203.6603963,72.38505397,10.3,0,0.135662009
AL,Barbour County,10253.5734,0.295918017,5.430278859,5.185594413,0.114745587,0.219999845,0.417,5.6,0.235,0.531667699,0.128440156,0.4,716.3,40.87081536,0.122427925,0.000316581,0.000361722,8.03826E-05,6209,0.45,0.37,0.814102564,0.348576486,0.051713842,0.439,5.681410019,0.566034261,7.518796993,414.2778607,70.27461156,11.5,0,0.145833333
AL,Bibb County,11977.53948,0.194397242,4.591482438,4.551698849,0.1030871,0.191141999,0.376,7.8,0.335,0.162513637,0.155700424,0.275862069,339.7,41.69679441,0.102062526,0.000485266,0.000223214,0.000223214,5961,0.4,0.38,0.837638376,0.441373534,0.039718277,0.278,4.368580511,0.286892361,8.381859891,89.34912598,108.1560284,11.2,0,0.104964539
AL,Blount County,11335.07113,0.217452928,4.86080763,4.891454668,0.076045627,0.19208672,0.338,8.4,0.303,0.156344859,0.142305938,0.194444444,234.4,33.5345953,0.133607595,0.000224088,0.00019018,0.000155602,4060,0.34,0.39,0.934687954,0.533610733,0.035111573,0.18,4.430262332,0.28561828,8.446382707,482.6906109,107.2853687,11.7,0,0.105480116
AL,Bullock County,11679.55898,0.309991019,5.359159343,4.891351043,0.156884876,0.22894664,0.372,4.3,0.246,0.025013744,0.120941012,0.6,863.3,47.91666667,0.114403761,0.000291008,0.000197278,0.000197278,6632,0.35,0.28,0.702479339,0.349760942,0.046901173,0.683,7.410195994,0.74789916,7.760209526,311.0273327,107.1380742,11.2,0,0.181434599
AL,Butler County,14359.9391,0.279106732,5.400806197,5.340750195,0.126802885,0.21765335,0.433,6.6,0.395,0.485797489,0.118574034,0.274509804,761.7,37.88610039,0.111860095,0.000252207,0.000304878,0.00050813,9203,0.42,0.35,0.815899582,0.416787565,0.047902176,0.363,5.423595582,0.527128364,9.079445145,581.5840052,100.0470221,10.6,1,0.131596091
AL,Calhoun County,12078.61615,0.231077332,4.88037674,4.816072288,0.091613737,0.206125604,0.385,6.9,0.317,0.477212158,0.138422302,0.1875,654.6,33.53461699,0.119291675,0.000636288,0.000586295,0.001155088,6581,0.32,0.38,0.923680457,0.592439886,0.046528322,0.265,5.023896449,0.401919448,14.46900495,756.0665443,89.54154728,11.8,0,0.137341913
