state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_completion_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,life_expectancy_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,other_primary_care_providers_raw_value,high_school_graduation_raw_value,disconnected_youth_raw_value,reading_scores_raw_value,math_scores_raw_value,median_household_income_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,suicides_raw_value,firearm_fatalities_raw_value,juvenile_arrests_raw_value,traffic_volume_raw_value,homeownership_raw_value,severe_housing_cost_burden_raw_value,broadband_access_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_black_raw_value,%_american_indian_&_alaska_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value
US,United States,6906.641094,0.165095834,3.741935147,4.062791864,0.08159516,0.166224667,0.297,7.8,0.227,0.841686917,0.191745811,0.270299151,539.9,20.88185728,0.104289019,0.000758126,0.000711977,0.002612056,4236,0.42,0.48,0.880010825,0.661333504,0.036694089,0.168,4.913801133,0.255126921,9.291114225,386.4648965,72.31850346,7.2,,0.175431225,0.763308416,0.366,79.17308788,339.160101,49.09780344,5.764338123,0.11419867,0.126568564,0.105,372.8,0.115,0.059012425,21.22397851,11.3548338,0.35218567,0.124496605,0.051880641,0.001061557,0.85,0.066050222,3.053420932,3.002971869,65712,0.522488702,61.49367858,46.56722319,5.524806492,13.77677793,11.93967443,,,0.639921414,0.144373592,0.826664922,328239523,0.222517841,0.164691511,0.125358115,0.012759256,0.059422649,0.002458379,0.184536696,0.601115369,0.04326602,0.507501953,0.192690289
AL,Alabama,9819.887431,0.213758092,4.416965474,4.885636481,0.103193793,0.19989831,0.361,5.5,0.293,0.611122874,0.148913776,0.26868178,583.4,28.9552571,0.118846547,0.000652022,0.000498859,0.00108297,5466,0.4,0.43,0.861806987,0.607141497,0.030005549,0.219,5.238165305,0.318137058,12.32029241,479.9191819,84.46338667,9.2,0.104477612,0.138816553,0.856998696,0.346,75.54807547,471.6144885,69.60394395,8.25742785,0.140394172,0.158564685,0.145,330.4,0.17,0.07921425,16.21459118,20.04039719,0.396274626,0.151492964,0.032084379,0.000933679,0.901799151,0.078155816,2.885602535,2.72218766,51771,0.550708312,56.57964759,50.88472296,10.44577821,15.98811422,21.60071464,,219.9093771,0.687805993,0.120577936,0.763991299,4903185,0.221958992,0.173323462,0.264679999,0.007097224,0.015034105,0.00104218,0.04553734,0.65280588,0.011006831,0.516739222,0.409631829
AL,Autauga County,7830.053484,0.198391789,4.501498764,4.850213518,0.092017738,0.198107659,0.33,6.7,0.306,0.691301241,0.144738863,0.333333333,504.5,23.76404065,0.100473142,0.000467618,0.000340081,0.000286384,6650,0.39,0.42,0.885166056,0.604999304,0.027281064,0.159,5.090408401,0.247406286,12.22999586,272.2822201,68.41004259,10.4,0,0.136309665,0.857885123,0.383,77.16258132,409.1858641,56.66792595,7.341133288,0.132529581,0.158092307,0.127,230.2,0.156,0.11991125,8.38453891,19.82604576,0.384433321,0.13007961,0.025471218,0.000411677,0.89,,3.12696818,2.91727955,58233,0.474928524,24.79123854,24.19206212,5.407103389,18.48352495,16.56243137,,155.0955235,0.732906482,0.133758893,0.805673693,55869,0.232060714,0.159730799,0.198643255,0.004761138,0.011741753,0.001038143,0.029909252,0.737707852,0.008032514,0.515079919,0.420021623
AL,Baldwin County,7680.47727,0.164606753,3.647977757,4.768293531,0.082920093,0.185133183,0.3,7.8,0.247,0.73713549,0.187369576,0.296089386,297.2,26.00690449,0.131689826,0.000701764,0.000492757,0.000985513,3471,0.43,0.46,0.90806157,0.671086467,0.027258343,0.135,4.385134628,0.223722715,10.50352717,203.6603963,72.87864065,7.2,0,0.129966507,0.837601057,0.404,78.21340489,365.7246346,50.95199786,5.809914746,0.116116411,0.147555654,0.103,169.3,0.129,0.054244266,12.5404506,17.23893784,0.363779605,0.167534376,0.037712475,0.000645063,0.88,0.064713302,3.192380762,3.037911538,59871,0.400130164,42.49693318,31.84028013,3.009973273,19.28766125,14.35062036,28.39285714,133.6048422,0.752452737,0.111740454,0.818163845,223234,0.213023106,0.209779872,0.086075598,0.007803471,0.010661458,0.000689859,0.047188152,0.832073071,0.007084583,0.515096267,0.422790991
AL,Barbour County,11476.62942,0.298414999,5.569266683,5.590493512,0.113553114,0.255307675,0.412,5.5,0.28,0.531667699,0.124669737,0.393939394,755.8,37.11426189,0.135040337,0.000321531,0.000364579,0.000121526,5314,0.44,0.39,0.732130929,0.356137725,0.037952442,0.41,5.981992797,0.510081025,7.636349021,414.2778607,76.98894659,9.4,0,0.13710555,0.821163893,0.309,74.05474119,552.9773947,76.15783712,,0.181321046,0.189546946,0.175,471,0.219,0.107396666,,26.48217419,0.408895893,0.176732306,0.034298781,0.000567123,0.820689655,,2.389161313,2.00862944,35972,0.607699967,19.7225756,19.81447872,10.48252728,11.32591785,21.21124039,,102.4596728,0.608988764,0.142707118,0.605243446,24686,0.205865673,0.19691323,0.478287288,0.006886494,0.00469902,0.002106457,0.045248319,0.45511626,0.018907213,0.470793162,0.677896347
AL,Bibb County,12172.56238,0.238532836,4.894376504,5.271114229,0.102209945,0.230848125,0.374,7.6,0.334,0.162513637,0.154206033,0.296296296,613.2,37.78644564,0.105990507,0.000535714,0.000223274,0.000267929,6690,0.33,0.4,0.790573973,0.401390236,0.030627519,0.259,5.002608335,0.30614915,8.482142857,89.34912598,105.6013063,10,0,0.092552422,0.870576711,0.52,73.40878366,594.6935785,102.6250405,13.18051576,0.150659202,0.171417932,0.136,235,0.151,0.02601627,22.23473956,27.2659252,0.401100585,0.134299043,0.028718388,0.00120568,0.88,,2.688775131,2.56336673,47918,0.631025958,39.73521358,39.65363718,10.14546054,16.95583267,20.4103365,,26.58874815,0.744159048,0.087444291,0.69206211,22394,0.203492007,0.166696437,0.210726087,0.004599446,0.002143431,0.001161025,0.027819952,0.744083237,0.003352536,0.467312673,0.683526075
AL,Blount County,11096.05065,0.219856096,4.98662195,5.357809102,0.074305406,0.229549589,0.33,7.9,0.333,0.156344859,0.158332838,0.182926829,303.4,31.23977756,0.141159969,0.000207469,0.000190226,0.000172933,4440,0.37,0.4,0.804905632,0.557509573,0.026686669,0.21,4.427837913,0.224573736,7.780082988,482.6906109,107.5916086,10.6,0,0.101256646,0.875195943,0.579,74.37087378,519.980962,82.12785814,6.245961663,0.148124714,0.171295702,0.146,90.9,0.136,0.028801498,21.87944426,28.66696157,0.388471091,0.179347023,0.044703177,0.000242106,0.929255875,0.175619835,2.901714404,2.781496533,52902,0.504369675,42.76291096,22.04516954,6.919611414,20.02209766,21.44913096,11.26984127,43.30956196,0.787787212,0.07804803,0.730081067,57826,0.229222149,0.187009304,0.015079722,0.006398506,0.003199253,0.001158648,0.096530972,0.867706568,0.01618463,0.507626327,0.89951502
AL,Bullock County,10801.61279,0.314449319,5.513442487,5.394800262,0.154279279,0.24905713,0.466,5,0.424,0.025013744,0.117455315,0.545454546,1222.2,45.50209205,0.118735431,0.000295916,0.000198,0.000297,5645,0.32,0.29,0.746796226,0.321657251,0.036322125,0.399,5.630648644,0.73666824,7.891102782,311.0273327,98.82571794,9.2,0,0.202997275,0.809446631,0.473,74.44035871,522.8848903,,,0.1787152,0.181598055,0.295,560.1,0.205,0.197433507,,47.93929516,0.446527138,0.15785124,0.025737015,0.000792001,0.875,,2.110535605,1.96826778,31906,0.76077886,38.3111613,36.16737356,13.69694147,,25.19086928,,40.41545917,0.711161602,0.16112532,0.600965635,10101,0.208494209,0.169389169,0.690822691,0.008316008,0.002079002,0.007623008,0.085536086,0.20997921,0.00649083,0.454707455,0.513743815
AL,Butler County,12847.75783,0.27886721,5.387610451,5.718074588,0.123086344,0.228268066,0.468,6.8,0.403,0.485797489,0.125562328,0.307692308,933.2,36.93045564,0.119018326,0.000254065,0.000308515,0.000565611,8070,0.39,0.35,0.850495694,0.403040263,0.036489258,0.346,5.010831628,0.413243547,9.654471545,581.5840052,98.88502094,8.9,1,0.118439716,0.860485934,0.306,74.15384618,567.5820626,89.52050579,,0.169435374,0.185264872,0.195,344.4,0.191,0.029261219,,34.36770581,0.4197117,0.153215749,0.029069767,0.000719868,0.83,,2.526134007,2.118341767,39944,0.707462687,34.62673285,34.29418514,17.18385291,9.863932938,21.18964734,8,58.023787,0.699508146,0.10561386,0.645865355,19448,0.219765529,0.208196216,0.446318388,0.003959276,0.014345948,0.000411353,0.01486014,0.510952283,0.001606082,0.535993418,0.712321574
AL,Calhoun County,11326.67726,0.236610574,4.89502775,5.683091019,0.093943272,0.212343178,0.397,6.6,0.311,0.477212158,0.137202635,0.150943396,595.3,32.31714297,0.111038294,0.000638799,0.000677787,0.001223538,5879,0.33,0.4,0.844326743,0.588384276,0.035382718,0.246,4.843411014,0.303199224,14.2635876,756.0665443,91.99760492,10.8,0,0.12594235,0.843751986,0.309,73.45688939,557.3276955,69.56556807,8.268107155,0.15244868,0.178228299,0.17,261.3,0.174,0.091785666,19.84764017,20.98093962,0.382687048,0.140906803,0.028512918,0.000642577,0.911838341,0.063683305,2.945480411,2.786958409,47747,0.586594433,44.39809377,40.8338361,10.05595331,20.43099242,27.05811909,35,170.8142257,0.70068378,0.105189144,0.751462841,113605,0.215421856,0.180863518,0.209981955,0.00532547,0.009013688,0.001117909,0.04061441,0.717081114,0.008841774,0.52043484,0.336968256
