state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_completion_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,covid-19_age-adjusted_mortality_raw_value,life_expectancy_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,other_primary_care_providers_raw_value,high_school_graduation_raw_value,disconnected_youth_raw_value,reading_scores_raw_value,math_scores_raw_value,school_segregation_raw_value,school_funding_adequacy_raw_value,gender_pay_gap_raw_value,median_household_income_raw_value,living_wage_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,childcare_cost_burden_raw_value,childcare_centers_raw_value,homicides_raw_value,suicides_raw_value,firearm_fatalities_raw_value,juvenile_arrests_raw_value,traffic_volume_raw_value,homeownership_raw_value,severe_housing_cost_burden_raw_value,broadband_access_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_black_raw_value,%_american_indian_&_alaska_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_female_raw_value,%_rural_raw_value
US,United States,7281.935564,0.171051628,3.90735887,4.526981132,0.081906553,0.164925569,0.321,7.8,0.259,0.797929996,0.197874853,0.26555079,551,19.30057259,0.108405425,0.000765069,0.00071486,0.002819071,3767,0.43,0.48,0.885285213,0.669150794,0.080528754,0.157,4.892074199,0.252838732,9.239228635,386.4648965,75.89951227,7.5,0.404545455,0.173139007,0.749209189,0.366,84.96925128,78.52889465,358.7460227,48.06565984,5.666327649,0.116982231,0.140918515,0.094,378,0.109,0.061001965,23.33212318,11.59131126,0.35276497,0.128440438,0.056201091,0.001151251,0.86,0.067853116,3.053420932,3.002971869,0.248458265,740.5435,0.814019844,67340,,0.520917012,62.57076997,45.76372982,0.245181187,6.395614436,5.865883882,13.81828299,12.43033023,18.99818866,394.7199533,0.644042982,0.141902126,0.85246557,329484123,0.22101858,0.168928823,0.125733952,0.013029429,0.060738217,0.002560648,0.186087507,0.597216607,0.041596722,0.507544702,0.192690289
AL,Alabama,10350.07146,0.214101893,4.814632844,5.618315505,0.1043276,0.21092716,0.363,5.3,0.308,0.566370611,0.147992477,0.258869637,636.9,27.5988893,0.11599538,0.000658348,0.000493546,0.001182152,4875,0.42,0.42,0.868736181,0.61575284,0.058770064,0.209,5.157920311,0.311281991,12.15536432,479.9191819,86.9057184,9,0.134328358,0.136859166,0.848731025,0.352,103.6509848,74.83594896,499.8685504,66.77517633,8.06114528,0.152784969,0.182846555,0.122,336.4,0.161,0.087605485,17.48162866,20.20551485,0.396274626,0.14748532,0.032712345,0.001012896,0.917131813,0.080343485,2.885602535,2.72218766,0.289238684,-4296.271,0.736379198,53958,,0.550054539,57.38823523,50.83380508,0.23871631,5.518394649,11.10688545,16.20066965,22.29389952,,219.9093771,0.691820086,0.118997159,0.799154251,4921532,0.220923688,0.177636557,0.264908163,0.007090678,0.015351114,0.001095797,0.046033837,0.651377864,0.010194479,0.517027218,0.409631829
AL,Autauga County,8027.394727,0.201,4.510042404,5.419067716,0.097381519,0.197,0.353,6.5,0.322,0.627586081,0.161612356,0.321428571,578.1,22.97694569,0.093512391,0.000447475,0.00033841,0.000374032,4931,0.42,0.42,0.88713682,0.607217355,0.04884279,0.149,5.135445878,0.276040478,12.88728991,272.2822201,68.57306981,9.5,0,0.147288657,0.867088861,0.405,82.01289273,76.58564973,427.0733259,51.49625222,6.877579092,0.142,0.171,0.112,222.1,0.157,0.13020998,8.352474421,19.00959985,0.384433321,0.119606627,0.026531064,0.000445276,0.89,,3.12696818,2.91727955,0.05526245,-2618.608,0.722038768,67565,,0.454824561,28.20431944,24.90795747,0.17526826,4.636785162,5.908389142,17.7372965,17.59204409,8.064516129,155.0955235,0.746231272,0.138327695,0.827079178,56145,0.231846113,0.161759729,0.203188174,0.004737733,0.011701843,0.001086473,0.031008995,0.731659097,0.006926952,0.515077033,0.420021623
AL,Baldwin County,8118.358206,0.172,4.168866136,5.173915124,0.083857312,0.199,0.296,7.4,0.276,0.745079966,0.215035299,0.322033898,336,23.73432001,0.109067738,0.000689859,0.000488471,0.000994387,3578,0.44,0.46,0.904713846,0.655321076,0.056064818,0.124,4.386477827,0.183638224,10.12390586,203.6603963,74.83507888,7.2,0,0.124205037,0.829965602,0.379,50.0227993,77.72472918,381.7020314,51.16978345,5.27306968,0.125,0.161,0.094,172.9,0.134,0.079367794,17.5976783,16.84994323,0.363779605,0.137782924,0.034081982,0.000697815,0.9,0.061123026,3.192380762,3.037911538,0.090175096,333.9424,0.747464791,71135,,0.461322853,39.84129977,28.94813894,0.171167498,5.518394649,3.276377851,19.64588301,14.01440278,25.89285714,133.6048422,0.769997739,0.114508142,0.850690685,229287,0.21128542,0.21582122,0.084788933,0.007798087,0.011029845,0.000662925,0.046339304,0.833082556,0.007720679,0.515890565,0.422790991
AL,Barbour County,12876.76032,0.311,5.884414634,6.109899329,0.119146722,0.278,0.404,5.7,0.416,0.498379284,0.139276425,0.375,895.2,34.70031546,0.129914732,0.000364579,0.000366017,0.000244012,4548,0.46,0.36,0.747316964,0.383557549,0.07045534,0.375,5.994926933,0.540405975,7.291582273,414.2778607,82.14305652,9,0,0.154599891,0.840327294,0.368,110.281573,72.86721012,589.5660946,82.70493797,,0.191,0.205,0.165,498.2,0.207,0.104331717,,27.96936795,0.408895893,0.168411432,0.035589265,0.000610029,0.848260073,,2.389161313,2.00862944,0.037007218,-15097.365,0.729414892,38866,,0.602061534,20.43617042,19.35065328,0.243168837,6.006006006,11.18774718,14.26705236,25.5201729,23.75,102.4596728,0.619502253,0.123855365,0.646320532,24589,0.20472569,0.202610924,0.478099963,0.006994998,0.004554882,0.00203343,0.046728212,0.452641425,0.018274669,0.471837,0.677896347
AL,Bibb County,11191.47432,0.25,5.161337369,5.846095721,0.100330761,0.252,0.412,7.6,0.377,0.106044076,0.160167595,0.214285714,540.3,34.16687299,0.109932498,0.000580513,0.000271052,0.000271052,6329,0.37,0.33,0.808844686,0.37770409,0.066319444,0.219,5.394051358,0.367041199,8.930963651,89.34912598,103.3490436,9.4,0,0.111842105,0.876526459,0.553,147.486703,73.60936309,567.508146,82.23233375,,0.164,0.191,0.127,208.4,0.163,0.004458662,23.90557299,26.05987415,0.401100585,0.138986947,0.030872193,0.001445609,0.92,,2.688775131,2.56336673,0.092069658,-4279.571,0.785058666,50907,,0.59142769,47.81563303,45.9080373,0.214057006,3.990422985,9.534100299,17.42273562,17.81880062,,26.58874815,0.7477614,0.093930636,0.761261882,22136,0.19994579,0.170762559,0.209794001,0.004607879,0.002574991,0.001219733,0.029318757,0.741778099,0.003550968,0.468151428,0.683526075
AL,Blount County,10787.01454,0.232,4.948392657,5.738238349,0.078598889,0.222,0.387,7.8,0.333,0.23376714,0.161735047,0.150537634,404.7,29.50979595,0.142710274,0.000224812,0.000190052,0.000172774,4260,0.37,0.4,0.828251369,0.562665901,0.040874255,0.189,4.764969276,0.225584182,7.436101408,482.6906109,104.7493276,9.4,0,0.104611651,0.883415798,0.598,117.4585623,74.1714626,532.8364817,71.17304415,6.721595837,0.156,0.183,0.114,72.3,0.145,0.02512206,17.86280216,30.6434633,0.388471091,0.180629051,0.046760236,0.000259161,0.954115044,0.136763269,2.901714404,2.781496533,0.108433685,-574.207,0.853588284,55203,,0.52401269,52.21171254,30.14348031,0.218556963,4.564907275,7.166616418,20.51706131,20.39673376,6.451612903,43.30956196,0.760763971,0.087758638,0.796227305,57879,0.228027437,0.190034382,0.015273243,0.006288982,0.003801033,0.00120942,0.095440488,0.867983206,0.014764977,0.505571969,0.89951502
AL,Bullock County,11406.35109,0.311,5.512430487,5.694070273,0.150622877,0.252,0.438,4.6,0.413,0.018783214,0.134455428,0.347826087,742.5,40.34427111,0.11099631,0.000297,0.000200481,0.000200481,3775,0.41,0.28,0.749410377,0.280824923,0.055002076,0.387,8.107064622,0.588520971,7.92000792,311.0273327,98.25885312,9,0,0.173130194,0.80476788,0.471,159.5257887,73.81468226,556.1102965,,,0.18,0.189,0.178,608.4,0.157,0.323391904,,49.76087137,0.446527138,0.147575251,0.023820867,0.000902165,0.925,,2.110535605,1.96826778,0.008140627,-19216.87,0.683252601,33124,,0.754626457,30.61553882,27.51758597,0.357505132,8.417508418,15.2047107,,25.54730181,12.22222222,40.41545917,0.738116069,0.127596439,0.606299213,9976,0.208199679,0.176724138,0.686848436,0.008821171,0.002706496,0.007618284,0.088712911,0.210906175,0.015659255,0.452586207,0.513743815
AL,Butler County,12717.03016,0.271,5.339867207,5.951548419,0.128285357,0.246,0.397,6.9,0.407,0.416384208,0.135570081,0.351851852,1064.4,38.78252332,0.115727003,0.000257096,0.000358901,0.00066653,5885,0.39,0.28,0.863531114,0.371213704,0.088449647,0.308,5.70442037,0.411042945,9.255450432,581.5840052,105.6320146,8.8,0,0.125186289,0.863693945,0.371,170.7849871,73.47327905,606.5127483,80.17868392,,0.173,0.196,0.151,396.2,0.165,0.069182869,,38.15557395,0.4197117,0.146657016,0.033671587,0.000820345,0.925,,2.526134007,2.118341767,0.112674539,-10514.71,0.817866688,42268,,0.798441734,28.89045682,29.89247915,0.280164664,4.306632214,19.43774522,13.63356792,26.40800366,,58.023787,0.732741766,0.108318469,0.736050534,19504,0.22057014,0.213853569,0.446011075,0.003947908,0.013638228,0.000410172,0.016560706,0.509792863,0.003178023,0.534249385,0.712321574
AL,Calhoun County,11826.11499,0.237,4.939333114,5.738422295,0.094372108,0.226,0.359,5.9,0.326,0.491574739,0.161706171,0.142857143,729.7,30.48733838,0.119038143,0.00061617,0.000678599,0.00141889,5234,0.35,0.39,0.850735117,0.579762609,0.07050173,0.167,4.755530595,0.309809342,13.3796928,756.0665443,92.51958156,9.4,0,0.129565893,0.845910157,0.299,118.8934256,72.82500707,587.1190918,57.89740985,7.931188561,0.157,0.191,0.127,272,0.172,0.15398073,19.33493677,21.93895486,0.382687048,0.15149697,0.029771631,0.000705038,0.932304,0.069291339,2.945480411,2.786958409,0.209830983,-4322.30736,0.777953821,50259,,0.599593378,46.15851365,41.35313814,0.188045922,4.953467427,10.34621167,21.54905198,26.10874555,31.73913044,170.8142257,0.703805079,0.097395882,0.797653235,113469,0.214005587,0.185336964,0.21194335,0.005270162,0.008830606,0.001119248,0.04113899,0.713957116,0.0070034,0.519102134,0.336968256
