state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_completion_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,life_expectancy_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,other_primary_care_providers_raw_value,high_school_graduation_raw_value,disconnected_youth_raw_value,reading_scores_raw_value,math_scores_raw_value,school_segregation_raw_value,school_funding_adequacy_raw_value,gender_pay_gap_raw_value,median_household_income_raw_value,living_wage_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,child_care_cost_burden_raw_value,child_care_centers_raw_value,homicides_raw_value,suicides_raw_value,firearm_fatalities_raw_value,motor_vehicle_crash_deaths_raw_value,juvenile_arrests_raw_value,voter_turnout_raw_value,census_participation_raw_value,traffic_volume_raw_value,homeownership_raw_value,severe_housing_cost_burden_raw_value,broadband_access_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_black_raw_value,%_american_indian_or_alaska_native_raw_value,%_asian_raw_value,%_native_hawaiian_or_other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_female_raw_value,%_rural_raw_value
US,United States,7971.509789,0.142,3.346299949,4.817121948,0.083407868,0.15,0.34,7.7,0.229,0.841440441,0.181103881,0.263090697,495.5,16.58036919,0.102285496,0.000749427,0.000734615,0.003138977,2681,0.43,0.46,0.891440466,0.67582978,0.03650136,0.163,4.902842293,0.249315823,9.085618652,80.005528,7.35,,0.167388914,0.716733282,0.364,77.58533723,390.0631011,50.64591872,5.671340479,0.102808778,0.151973474,0.096,382.2,0.104,0.061001965,27.19515668,0.330131,0.121128647,0.05318895,0.001313898,0.861605,0.069448414,3.053421,3.002972,0.24044071,634.0391,0.813749523,74755,,0.507602879,62.69592257,0.270741247,6.863866828,6.275638002,13.94202751,12.98328647,12.03541504,,0.679095215,0.652,107.6166571,0.648163861,0.144915294,0.883466964,333287557,0.217382334,0.17340837,0.126228748,0.013148508,0.062870457,0.002636786,0.191019271,0.588758752,0.040955371,0.504081237,0.200031371
AL,Alabama,11415.73483,0.178,3.934735403,5.869319841,0.10480008,0.179,0.406,5.4,0.299,0.613337954,0.14477526,0.25126369,625.2,24.92988074,0.116933505,0.000636524,0.000496029,0.001350926,3280,0.41,0.39,0.877153991,0.616041617,0.025967658,0.218,5.212687998,0.305875299,11.69472985,90.37969869,9.3,0.223880597,0.130812468,0.82825024,0.352,73.70786097,548.7561714,73.03384215,7.730109852,0.123666507,0.195782686,0.133,339.7,0.148,0.087605485,21.56130198,0.392430096,0.146289079,0.041140988,0.001156022,0.907580579,0.080182875,2.885602535,2.72218766,0.274931944,-7911.501,0.744823226,59703,,0.491740798,57.39338222,0.266040689,5.509231686,12.13118413,16.23475175,23.22634003,20.58836913,12.26209677,0.626360004,,67.32870913,0.697199907,0.12266376,0.837864108,5074296,0.219057383,0.180267962,0.26430898,0.007158629,0.015886933,0.00109493,0.049317777,0.647117157,0.010474985,0.513753238,0.422627605
AL,Autauga County,9407.948438,0.173,3.910265059,5.703204125,0.098713352,0.169,0.389,6.7,0.291,0.54491965,0.152378215,0.290909091,577,20.90888049,0.100185604,0.00043997,0.00030121,0.000368145,3915,0.4,0.37,0.904026077,0.641475015,0.022695883,0.157,4.637675394,0.227025064,12.69142906,68.03347814,10,0,0.153756957,0.854278421,0.429,75.26349707,472.2839228,58.56212753,6.834686032,0.117,0.18,0.107,218,0.133,0.13020998,9.350764717,0.375,0.124074179,0.040412486,0.000502016,0.87,0.072425052,3.12696818,2.91727955,0.051539309,-3606.782,0.746165515,70148,,0.279985972,29.38240388,0.19733991,5.726341169,6.616163287,17.4574792,17.36271057,18.06721513,4.838709677,0.661820782,0.688,46.47384819,0.754527524,0.112793587,0.890667025,59759,0.232283003,0.164109172,0.210110611,0.004718955,0.011780652,0.001221573,0.033819174,0.720510718,0.003664855,0.512960391,0.406768132
AL,Baldwin County,8981.575353,0.152,3.730942868,5.373666151,0.081243184,0.15,0.372,7.5,0.276,0.631293497,0.164225636,0.361445783,317.6,20.20223706,0.109970667,0.000626844,0.000470712,0.001103739,2799,0.44,0.42,0.915993103,0.656804185,0.023500472,0.161,4.482449247,0.190512873,9.653397076,77.50798466,7.6,1,0.12427866,0.813469985,0.379,76.73831389,416.2189122,54.03500529,5.329249617,0.11,0.173,0.098,174.3,0.118,0.079367794,25.72942188,0.351,0.133762433,0.049369431,0.00083592,0.886517139,0.082482759,3.192380762,3.037911538,0.090945858,-537.1533,0.722548599,71704,,0.369956076,39.54396112,0.201522928,6.231823847,3.388202669,18.79012618,14.34343164,15.8333317,20.30567686,0.652909486,0.564,39.06806727,0.778705315,0.123018541,0.889209489,246435,0.208038631,0.219287033,0.082248869,0.008107615,0.011560858,0.00066549,0.050362165,0.82978473,0.00786658,0.512390691,0.375864554
AL,Barbour County,13138.84836,0.273,5.023488318,6.01429402,0.122724909,0.25,0.434,6,0.402,0.548546961,0.122771979,0.314285714,729,36.61853944,0.126776343,0.000400577,0.000323808,0.000283332,3040,0.42,0.35,0.764922207,0.404544752,0.040650407,0.377,5.57679679,0.506604507,8.412113443,85.21585336,9.4,0,0.150751073,0.820525117,0.367,72.37702423,628.2535957,80.03913024,,0.158,0.205,0.156,513.7,0.178,0.104331717,,0.439,0.163114686,0.038976149,0.00080952,0.8544098,,2.389161313,2.00862944,0.038889595,-23626.58,0.777443339,41151,,0.565651191,19.07864539,0.254598916,5.303030303,13.00581303,13.42681003,26.52946378,29.40444686,,0.540215717,0.545,34.40564928,0.649733807,0.107662697,0.682231588,24706,0.203634745,0.206225209,0.471950134,0.007245204,0.004695216,0.002792844,0.050999757,0.452724035,0.019806599,0.471221566,0.659199937
AL,Bibb County,12675.43458,0.22,4.552794934,5.824583393,0.098285714,0.22,0.396,7.6,0.36,0.433903019,0.14785821,0.153846154,662.9,31.92297948,0.113799283,0.000667349,0.000227221,0.000499886,4651,0.36,0.28,0.788634223,0.389935116,0.02509741,0.255,5.66923661,0.307133704,8.897984607,99.93308053,9.8,0,0.122589532,0.87983631,0.538,72.25136909,618.3238587,100.8725475,,0.14,0.194,0.124,269.3,0.149,0.004458662,22.3857209,0.4,0.140821119,0.039496528,0.001408771,0.88,,2.688775131,2.56336673,0.089802217,-6970.646,0.808805816,54309,,0.489921977,32.0713632,0.237014123,5.016722408,9.535858005,17.05022054,20.52197189,24.79323081,,0.545635485,0.56,8.146790014,0.757344789,0.104042806,0.797117517,22005,0.197455124,0.178050443,0.207361963,0.005725971,0.00290843,0.001317882,0.031765508,0.739968189,0.002891818,0.464894342,1
AL,Blount County,11541.49507,0.186,4.246335182,5.664850612,0.076043211,0.196,0.377,7.7,0.304,0.413552271,0.149461148,0.130952381,318.4,25.12323104,0.128199779,0.000203249,0.000168033,0.000268853,2499,0.35,0.36,0.81755151,0.519759632,0.022251512,0.158,4.611946363,0.229694775,7.621822124,97.72917319,9.6,0,0.106578637,0.848946808,0.606,73.37656812,573.1408529,61.53320229,7.221750212,0.128,0.188,0.105,80.7,0.137,0.02512206,21.1735891,0.373,0.160972634,0.047434725,0.00035287,0.979196278,0.097330179,2.901714404,2.781496533,0.104776332,-2788.999,0.876378695,60553,,0.431638045,62.71640501,0.347100887,4.903374676,5.911679508,22.21925155,18.23819077,30.54367746,6.774193548,0.641879944,0.667,14.44023405,0.792749468,0.092465252,0.827244983,59512,0.227046646,0.190902675,0.017273827,0.006334857,0.004352063,0.00131066,0.100702379,0.85992741,0.021951964,0.502906977,0.90489397
AL,Bullock County,13837.89921,0.307,5.152511842,5.973144781,0.151219512,0.257,0.489,4.2,0.436,0.423481703,0.115288295,0.269230769,823.6,37.4301676,0.122146457,0.000193798,0.00019604,0.00019604,2268,0.51,0.28,0.733789827,0.32728647,0.028107159,0.39,7.145819779,0.630464795,5.813953488,108.1740225,9.3,0,0.096209913,0.886110356,0.454,72.10011162,629.7157405,,,0.166,0.205,0.187,616.2,0.156,0.323391904,,0.46,0.16353544,0.029547553,0.00058812,0.825,,2.110535605,1.96826778,0.009037154,-38452.98,0.671496529,35798,,0.758142758,34.58410715,0.386697581,5.376344086,19.47094657,,27.53520573,55.6312759,6.666666667,0.590653009,0.488,15.9680375,0.646666667,0.163387796,0.610144928,10202,0.211037052,0.177808273,0.673397373,0.0093119,0.00313664,0.00754754,0.093511076,0.217506371,0.017612124,0.445892962,1
AL,Butler County,12718.63319,0.234,4.627377057,6.080885157,0.131903834,0.211,0.42,7.2,0.365,0.427221668,0.128211314,0.283333333,1090.9,34.83499214,0.119034521,0.000264774,0.000375335,0.000857909,3396,0.39,0.29,0.875923413,0.391718335,0.034189005,0.33,4.87873345,0.392772792,9.002330015,109.9228485,9.1,1,0.115037594,0.860833108,0.352,73.1898895,616.9263042,74.23904974,,0.141,0.199,0.14,377.4,0.138,0.069182869,17.29026904,0.409,0.150806529,0.039073468,0.000965148,0.8,,2.526134007,2.118341767,0.121255871,-15080.51,0.77769826,41852,,0.710625214,23.85090978,0.341656313,4.599816007,17.4554341,11.88373813,24.6555922,38.54741696,16,0.629177719,0.558,22.23338025,0.707754873,0.115833583,0.785163371,18650,0.223967828,0.21538874,0.441876676,0.004718499,0.015013405,0.000536193,0.018284182,0.50766756,0.000669381,0.530080429,0.694346754
AL,Calhoun County,13197.25812,0.208,4.499556522,5.696611047,0.09509434,0.208,0.389,5.9,0.341,0.666938621,0.135399058,0.104761905,545,25.97987686,0.132170856,0.000586348,0.000647736,0.001580475,3491,0.33,0.34,0.850717716,0.545473596,0.030320763,0.262,4.875970817,0.327191582,13.6239782,97.0193217,9.7,0,0.105676464,0.852222995,0.311,71.69407783,645.4344721,65.59498243,7.071681132,0.135,0.191,0.12,255.2,0.156,0.15398073,23.32048763,0.381,0.165723754,0.042906333,0.000898193,0.919712644,0.081869765,2.945480411,2.786958409,0.189558926,-10277.2302,0.758625922,52772,,0.511760221,46.05695224,0.227469112,5.509231686,10.47013394,21.95714444,26.57105748,21.6881346,30.88495575,0.578563323,0.636,56.02274809,0.709149084,0.112961149,0.833419104,115788,0.211179051,0.186038277,0.220264622,0.005345977,0.008826476,0.001131378,0.043450099,0.702007117,0.005042906,0.513585173,0.364940184
